 ;"DATE";"TIME";"°C";"%HR"
1;"11/03/2024";"15:45:25";19,60;57,30
2;"11/03/2024";"15:46:25";19,90;74,49
3;"11/03/2024";"15:47:25";19,93;79,06
4;"11/03/2024";"15:48:25";19,91;80,66
5;"11/03/2024";"15:49:25";19,93;81,63
6;"11/03/2024";"15:50:25";19,88;82,29
7;"11/03/2024";"15:51:25";19,88;82,76
8;"11/03/2024";"15:52:25";19,88;83,16
9;"11/03/2024";"15:53:25";19,84;83,50
10;"11/03/2024";"15:54:25";19,84;83,78
11;"11/03/2024";"15:55:25";19,83;80,12
12;"11/03/2024";"15:56:25";19,70;80,33
13;"11/03/2024";"15:57:25";19,62;81,86
14;"11/03/2024";"15:58:25";19,62;82,77
15;"11/03/2024";"15:59:25";19,59;83,33
16;"11/03/2024";"16:00:25";19,56;83,77
17;"11/03/2024";"16:01:25";19,53;84,18
18;"11/03/2024";"16:02:25";19,53;84,52
19;"11/03/2024";"16:03:25";19,55;84,72
20;"11/03/2024";"16:04:25";19,56;84,79
21;"11/03/2024";"16:05:25";19,53;84,94
22;"11/03/2024";"16:06:25";19,56;85,09
23;"11/03/2024";"16:07:25";19,56;85,19
24;"11/03/2024";"16:08:25";19,60;85,27
25;"11/03/2024";"16:09:25";19,59;85,40
26;"11/03/2024";"16:10:25";19,60;85,45
27;"11/03/2024";"16:11:25";19,60;85,52
28;"11/03/2024";"16:12:25";19,63;85,55
29;"11/03/2024";"16:13:25";19,64;85,54
30;"11/03/2024";"16:14:25";19,63;85,50
31;"11/03/2024";"16:15:25";19,67;85,48
32;"11/03/2024";"16:16:25";19,67;85,38
33;"11/03/2024";"16:17:25";19,67;85,28
34;"11/03/2024";"16:18:25";19,69;85,19
35;"11/03/2024";"16:19:25";19,72;85,05
36;"11/03/2024";"16:20:25";19,70;84,83
37;"11/03/2024";"16:21:25";19,74;84,68
38;"11/03/2024";"16:22:25";19,74;84,49
39;"11/03/2024";"16:23:25";19,76;84,28
40;"11/03/2024";"16:24:25";19,77;84,03
41;"11/03/2024";"16:25:25";19,79;83,77
42;"11/03/2024";"16:26:25";19,79;83,55
43;"11/03/2024";"16:27:25";19,83;83,31
44;"11/03/2024";"16:28:25";19,81;83,03
45;"11/03/2024";"16:29:25";19,83;82,76
46;"11/03/2024";"16:30:25";19,83;82,46
47;"11/03/2024";"16:31:25";19,84;82,23
48;"11/03/2024";"16:32:25";19,83;81,95
49;"11/03/2024";"16:33:25";19,87;81,69
50;"11/03/2024";"16:34:25";19,87;81,42
51;"11/03/2024";"16:35:25";19,87;81,15
52;"11/03/2024";"16:36:25";19,88;80,90
53;"11/03/2024";"16:37:25";19,88;80,68
54;"11/03/2024";"16:38:25";19,87;80,42
55;"11/03/2024";"16:39:25";19,87;80,22
56;"11/03/2024";"16:40:25";19,90;80,00
57;"11/03/2024";"16:41:25";19,87;79,76
58;"11/03/2024";"16:42:25";19,90;79,54
59;"11/03/2024";"16:43:25";19,91;79,33
60;"11/03/2024";"16:44:25";19,91;79,16
61;"11/03/2024";"16:45:25";19,93;78,99
62;"11/03/2024";"16:46:25";19,91;78,77
63;"11/03/2024";"16:47:25";19,94;78,65
64;"11/03/2024";"16:48:25";19,95;78,45
65;"11/03/2024";"16:49:25";19,95;78,30
66;"11/03/2024";"16:50:25";19,97;78,11
67;"11/03/2024";"16:51:25";19,98;77,96
68;"11/03/2024";"16:52:25";19,98;77,83
69;"11/03/2024";"16:53:25";19,98;77,66
70;"11/03/2024";"16:54:25";20,00;77,52
71;"11/03/2024";"16:55:25";20,00;77,34
72;"11/03/2024";"16:56:25";20,02;77,26
73;"11/03/2024";"16:57:25";20,02;77,10
74;"11/03/2024";"16:58:25";20,02;77,01
75;"11/03/2024";"16:59:25";20,04;76,86
76;"11/03/2024";"17:00:25";20,04;76,74
77;"11/03/2024";"17:01:25";20,05;76,63
78;"11/03/2024";"17:02:25";20,07;76,45
79;"11/03/2024";"17:03:25";20,08;76,36
80;"11/03/2024";"17:04:25";20,08;76,21
81;"11/03/2024";"17:05:25";20,10;76,12
82;"11/03/2024";"17:06:25";20,08;75,97
83;"11/03/2024";"17:07:25";20,07;75,83
84;"11/03/2024";"17:08:25";20,05;75,70
85;"11/03/2024";"17:09:25";20,08;75,62
86;"11/03/2024";"17:10:25";20,11;75,48
87;"11/03/2024";"17:11:25";20,05;75,36
88;"11/03/2024";"17:12:25";20,07;75,29
89;"11/03/2024";"17:13:25";20,07;75,19
90;"11/03/2024";"17:14:25";20,05;75,12
91;"11/03/2024";"17:15:25";20,07;75,04
92;"11/03/2024";"17:16:25";20,05;74,97
93;"11/03/2024";"17:17:25";20,05;74,86
94;"11/03/2024";"17:18:25";20,07;74,78
95;"11/03/2024";"17:19:25";20,04;74,69
96;"11/03/2024";"17:20:25";20,04;74,66
97;"11/03/2024";"17:21:25";20,05;74,58
98;"11/03/2024";"17:22:25";20,04;74,48
99;"11/03/2024";"17:23:25";20,02;74,44
100;"11/03/2024";"17:24:25";20,01;74,38
101;"11/03/2024";"17:25:25";20,01;74,35
102;"11/03/2024";"17:26:25";20,00;74,28
103;"11/03/2024";"17:27:25";19,98;74,15
104;"11/03/2024";"17:28:25";19,97;74,04
105;"11/03/2024";"17:29:25";19,97;73,93
106;"11/03/2024";"17:30:25";19,97;73,85
107;"11/03/2024";"17:31:25";19,93;73,81
108;"11/03/2024";"17:32:25";19,94;73,77
109;"11/03/2024";"17:33:25";19,91;73,74
110;"11/03/2024";"17:34:25";19,93;73,78
111;"11/03/2024";"17:35:25";19,88;73,78
112;"11/03/2024";"17:36:25";19,88;73,77
113;"11/03/2024";"17:37:25";19,85;73,81
114;"11/03/2024";"17:38:25";19,84;73,89
115;"11/03/2024";"17:39:25";19,81;73,93
116;"11/03/2024";"17:40:25";19,80;73,96
117;"11/03/2024";"17:41:25";19,79;74,00
118;"11/03/2024";"17:42:25";19,80;74,05
119;"11/03/2024";"17:43:25";19,74;74,12
120;"11/03/2024";"17:44:25";19,73;74,26
121;"11/03/2024";"17:45:25";19,69;74,35
122;"11/03/2024";"17:46:25";19,69;74,39
123;"11/03/2024";"17:47:25";19,67;74,48
124;"11/03/2024";"17:48:25";19,66;74,59
125;"11/03/2024";"17:49:25";19,64;74,78
126;"11/03/2024";"17:50:25";19,63;74,82
127;"11/03/2024";"17:51:25";19,59;74,89
128;"11/03/2024";"17:52:25";19,56;74,97
129;"11/03/2024";"17:53:25";19,55;75,15
130;"11/03/2024";"17:54:25";19,52;75,36
131;"11/03/2024";"17:55:25";19,52;75,54
132;"11/03/2024";"17:56:25";19,53;75,73
133;"11/03/2024";"17:57:25";19,52;75,94
