 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height
1,deuxieme-aiguille-hydrophobe-11-03-24.avi:0.38 s,0.105,215.431,0,255,1.777,0.181,0.361,0.361
2,deuxieme-aiguille-hydrophobe-11-03-24.avi:0.77 s,0.092,219.653,0,255,1.807,0.271,0.331,0.482
3,deuxieme-aiguille-hydrophobe-11-03-24.avi:0.96 s,0.091,242.250,0,255,1.777,0.060,0.361,0.422
4,deuxieme-aiguille-hydrophobe-11-03-24.avi:0.96 s,0.014,255.000,255,255,1.988,0.512,0.090,0.271
5,deuxieme-aiguille-hydrophobe-11-03-24.avi:1.15 s,0.028,255.000,255,255,1.807,0.331,0.301,0.181
6,deuxieme-aiguille-hydrophobe-11-03-24.avi:1.34 s,0.046,205.000,0,255,1.807,0.090,0.301,0.181
7,deuxieme-aiguille-hydrophobe-11-03-24.avi:1.53 s,0.114,176.071,0,255,1.777,0.271,0.361,0.452
8,deuxieme-aiguille-hydrophobe-11-03-24.avi:2.11 s,0.046,200.000,0,255,1.807,0.090,0.331,0.181
9,deuxieme-aiguille-hydrophobe-11-03-24.avi:2.68 s,0.077,213.000,0,255,1.777,0.361,0.361,0.422
10,deuxieme-aiguille-hydrophobe-11-03-24.avi:2.87 s,0.033,255.000,255,255,1.807,0.331,0.301,0.211
11,deuxieme-aiguille-hydrophobe-11-03-24.avi:3.26 s,0.105,189.052,0,255,1.777,0.241,0.361,0.422
12,deuxieme-aiguille-hydrophobe-11-03-24.avi:3.83 s,0.047,245.192,0,255,1.807,0.120,0.331,0.181
13,deuxieme-aiguille-hydrophobe-11-03-24.avi:4.02 s,0.027,255.000,255,255,1.807,0.361,0.301,0.211
14,deuxieme-aiguille-hydrophobe-11-03-24.avi:4.22 s,0.047,205.962,0,255,1.807,0.120,0.301,0.181
15,deuxieme-aiguille-hydrophobe-11-03-24.avi:4.41 s,0.075,208.916,0,255,1.777,0.301,0.331,0.422
16,deuxieme-aiguille-hydrophobe-11-03-24.avi:4.60 s,0.105,204.440,0,255,1.807,0.090,0.331,0.392
17,deuxieme-aiguille-hydrophobe-11-03-24.avi:5.17 s,0.013,255.000,255,255,1.988,0.482,0.090,0.211
18,deuxieme-aiguille-hydrophobe-11-03-24.avi:5.17 s,0.013,255.000,255,255,1.807,0.512,0.151,0.211
19,deuxieme-aiguille-hydrophobe-11-03-24.avi:5.37 s,0.051,173.036,0,255,1.807,0.241,0.301,0.211
20,deuxieme-aiguille-hydrophobe-11-03-24.avi:5.75 s,0.112,217.984,0,255,1.777,0.181,0.361,0.452
21,deuxieme-aiguille-hydrophobe-11-03-24.avi:5.94 s,0.054,194.492,0,255,1.807,0.482,0.301,0.211
22,deuxieme-aiguille-hydrophobe-11-03-24.avi:6.13 s,0.074,227.012,0,255,1.807,0.331,0.331,0.422
23,deuxieme-aiguille-hydrophobe-11-03-24.avi:6.32 s,0.090,203.485,0,255,1.807,0.090,0.331,0.361
24,deuxieme-aiguille-hydrophobe-11-03-24.avi:6.32 s,0.015,255.000,255,255,1.898,0.602,0.211,0.211
25,deuxieme-aiguille-hydrophobe-11-03-24.avi:6.90 s,0.025,255.000,255,255,1.807,0.392,0.301,0.211
26,deuxieme-aiguille-hydrophobe-11-03-24.avi:7.09 s,0.049,198.333,0,255,1.807,0.151,0.331,0.181
27,deuxieme-aiguille-hydrophobe-11-03-24.avi:7.47 s,0.107,229.068,0,255,1.777,0.090,0.361,0.422
28,deuxieme-aiguille-hydrophobe-11-03-24.avi:7.66 s,0.032,255.000,255,255,1.777,0.482,0.331,0.151
29,deuxieme-aiguille-hydrophobe-11-03-24.avi:7.86 s,0.053,184.655,0,255,1.777,0.211,0.331,0.241
30,deuxieme-aiguille-hydrophobe-11-03-24.avi:8.05 s,0.069,218.092,0,255,1.777,0.241,0.331,0.482
31,deuxieme-aiguille-hydrophobe-11-03-24.avi:8.24 s,0.020,255.000,255,255,1.898,0.060,0.211,0.271
32,deuxieme-aiguille-hydrophobe-11-03-24.avi:8.62 s,0.108,188.571,0,255,1.777,0.271,0.361,0.392
33,deuxieme-aiguille-hydrophobe-11-03-24.avi:9.20 s,0.049,236.111,0,255,1.777,0.120,0.331,0.211
34,deuxieme-aiguille-hydrophobe-11-03-24.avi:9.20 s,0.056,197.419,0,255,1.777,0.361,0.331,0.241
35,deuxieme-aiguille-hydrophobe-11-03-24.avi:9.58 s,0.051,182.143,0,255,1.777,0.211,0.301,0.211
36,deuxieme-aiguille-hydrophobe-11-03-24.avi:9.77 s,0.104,188.478,0,255,1.777,0.060,0.331,0.392
37,deuxieme-aiguille-hydrophobe-11-03-24.avi:9.77 s,0.012,255.000,255,255,1.988,0.542,0.090,0.211
38,deuxieme-aiguille-hydrophobe-11-03-24.avi:9.96 s,0.025,255.000,255,255,1.807,0.211,0.271,0.241
