Slice,Count,Total Area,Average Size,%Area,Mean
0.19 s,0,0.000,NaN,0.000,NaN
0.38 s,1,0.105,0.105,2.802,215.431
0.57 s,0,0.000,NaN,0.000,NaN
0.77 s,1,0.092,0.092,2.440,219.653
0.96 s,2,0.104,0.052,2.778,248.625
1.15 s,1,0.028,0.028,0.749,255.000
1.34 s,1,0.046,0.046,1.232,205.000
1.53 s,1,0.114,0.114,3.043,176.071
1.72 s,0,0.000,NaN,0.000,NaN
1.92 s,0,0.000,NaN,0.000,NaN
2.11 s,1,0.046,0.046,1.232,200.000
2.30 s,0,0.000,NaN,0.000,NaN
2.49 s,0,0.000,NaN,0.000,NaN
2.68 s,1,0.077,0.077,2.053,213.000
2.87 s,1,0.033,0.033,0.870,255.000
3.07 s,0,0.000,NaN,0.000,NaN
3.26 s,1,0.105,0.105,2.802,189.052
3.45 s,0,0.000,NaN,0.000,NaN
3.64 s,0,0.000,NaN,0.000,NaN
3.83 s,1,0.047,0.047,1.256,245.192
4.02 s,1,0.027,0.027,0.725,255.000
4.22 s,1,0.047,0.047,1.256,205.962
4.41 s,1,0.075,0.075,2.005,208.916
4.60 s,1,0.105,0.105,2.802,204.440
4.79 s,0,0.000,NaN,0.000,NaN
4.98 s,0,0.000,NaN,0.000,NaN
5.17 s,2,0.025,0.013,0.676,255.000
5.37 s,1,0.051,0.051,1.353,173.036
5.56 s,0,0.000,NaN,0.000,NaN
5.75 s,1,0.112,0.112,2.995,217.984
5.94 s,1,0.054,0.054,1.425,194.492
6.13 s,1,0.074,0.074,1.981,227.012
6.32 s,2,0.104,0.052,2.778,229.242
6.52 s,0,0.000,NaN,0.000,NaN
6.71 s,0,0.000,NaN,0.000,NaN
6.90 s,1,0.025,0.025,0.676,255.000
7.09 s,1,0.049,0.049,1.304,198.333
7.28 s,0,0.000,NaN,0.000,NaN
7.47 s,1,0.107,0.107,2.850,229.068
7.66 s,1,0.032,0.032,0.845,255.000
7.86 s,1,0.053,0.053,1.401,184.655
8.05 s,1,0.069,0.069,1.836,218.092
