Date,Hour,Media,Media value concentration,Value,Concentration
31/05/2024,17:35:19,Z,8458,z,8645
31/05/2024,17:35:19,Z,8458,z,8575
31/05/2024,17:35:20,Z,8437,z,8101
31/05/2024,17:35:20,Z,8417,z,7975
31/05/2024,17:35:21,Z,8417,z,8398
31/05/2024,17:35:21,Z,8417,z,8600
31/05/2024,17:35:22,Z,8437,z,8881
31/05/2024,17:35:22,Z,8458,z,8810
31/05/2024,17:35:23,Z,8437,z,8061
31/05/2024,17:35:23,Z,8417,z,7935
31/05/2024,17:35:24,Z,8395,z,8231
31/05/2024,17:35:24,Z,8395,z,8335
31/05/2024,17:35:25,Z,8395,z,8458
31/05/2024,17:35:25,Z,8417,z,8575
31/05/2024,17:35:26,Z,8417,z,8738
31/05/2024,17:35:26,Z,8417,z,8227
31/05/2024,17:35:27,Z,8374,z,7850
31/05/2024,17:35:27,Z,8374,z,8229
31/05/2024,17:35:28,Z,8417,z,9018
31/05/2024,17:35:28,Z,8458,z,9182
31/05/2024,17:35:29,Z,8458,z,8761
31/05/2024,17:35:29,Z,8505,z,9042
31/05/2024,17:35:30,Z,8528,z,8974
31/05/2024,17:35:30,Z,8575,z,9257
31/05/2024,17:35:31,Z,8645,z,9531
31/05/2024,17:35:31,Z,8691,z,9334
31/05/2024,17:35:32,Z,8715,z,9334
31/05/2024,17:35:32,Z,8738,z,8860
31/05/2024,17:35:33,Z,8691,z,8168
31/05/2024,17:35:33,Z,8668,z,8145
31/05/2024,17:35:34,Z,8645,z,8505
31/05/2024,17:35:34,Z,8668,z,8925
31/05/2024,17:35:35,Z,8668,z,8738
31/05/2024,17:35:35,Z,8645,z,8353
31/05/2024,17:35:36,Z,8621,z,8145
31/05/2024,17:35:36,Z,8575,z,8103
31/05/2024,17:35:37,Z,8575,z,8554
31/05/2024,17:35:37,Z,8598,z,8951
31/05/2024,17:35:38,Z,8621,z,8998
31/05/2024,17:35:38,Z,8645,z,8691
31/05/2024,17:35:39,Z,8598,z,8206
31/05/2024,17:35:39,Z,8575,z,8145
31/05/2024,17:35:40,Z,8551,z,8419
31/05/2024,17:35:40,Z,8551,z,8376
31/05/2024,17:35:41,Z,8551,z,8621
31/05/2024,17:35:41,Z,8575,z,8785
31/05/2024,17:35:42,Z,8551,z,8458
31/05/2024,17:35:42,Z,8551,z,8507
31/05/2024,17:35:43,Z,8551,z,8376
31/05/2024,17:35:43,Z,8551,z,8761
31/05/2024,17:35:44,Z,8598,z,9182
31/05/2024,17:35:44,Z,8598,z,8528
31/05/2024,17:35:45,Z,8551,z,8103
31/05/2024,17:35:45,Z,8551,z,8251
31/05/2024,17:35:46,Z,8528,z,8292
31/05/2024,17:35:46,Z,8505,z,8080
31/05/2024,17:35:47,Z,8458,z,8124
31/05/2024,17:35:47,Z,8437,z,8187
31/05/2024,17:35:48,Z,8437,z,8166
31/05/2024,17:35:48,Z,8395,z,7975
31/05/2024,17:35:49,Z,8417,z,8645
31/05/2024,17:35:49,Z,8437,z,8951
31/05/2024,17:35:50,Z,8437,z,8417
31/05/2024,17:35:50,Z,8437,z,8505
31/05/2024,17:35:51,Z,8458,z,8624
31/05/2024,17:35:51,Z,8437,z,8229
31/05/2024,17:35:52,Z,8437,z,8311
31/05/2024,17:35:52,Z,8458,z,8925
31/05/2024,17:35:53,Z,8505,z,8974
31/05/2024,17:35:53,Z,8505,z,8647
31/05/2024,17:35:54,Z,8482,z,8187
31/05/2024,17:35:54,Z,8437,z,7893
31/05/2024,17:35:55,Z,8417,z,8017
31/05/2024,17:35:55,Z,8417,z,8482
31/05/2024,17:35:56,Z,8482,z,9356
31/05/2024,17:35:56,Z,8528,z,9307
31/05/2024,17:35:57,Z,8528,z,8482
31/05/2024,17:35:57,Z,8528,z,8551
31/05/2024,17:35:58,Z,8528,z,8376
31/05/2024,17:35:58,Z,8505,z,8124
31/05/2024,17:35:59,Z,8528,z,8993
31/05/2024,17:35:59,Z,8575,z,9401
31/05/2024,17:36:00,Z,8575,z,8551
31/05/2024,17:36:00,Z,8551,z,8187
31/05/2024,17:36:01,Z,8505,z,7891
31/05/2024,17:36:01,Z,8458,z,8017
31/05/2024,17:36:02,Z,8458,z,8313
31/05/2024,17:36:02,Z,8458,z,8621
31/05/2024,17:36:03,Z,8458,z,8417
31/05/2024,17:36:03,Z,8458,z,8333
31/05/2024,17:36:04,Z,8482,z,8717
31/05/2024,17:36:04,Z,8437,z,8061
31/05/2024,17:36:05,Z,8417,z,7998
31/05/2024,17:36:05,Z,8458,z,9021
31/05/2024,17:36:06,Z,8505,z,9137
31/05/2024,17:36:06,Z,8505,z,8577
31/05/2024,17:36:07,Z,8505,z,8717
31/05/2024,17:36:07,Z,8505,z,8484
31/05/2024,17:36:08,Z,8505,z,8460
31/05/2024,17:36:08,Z,8505,z,8439
31/05/2024,17:36:09,Z,8482,z,8271
31/05/2024,17:36:09,Z,8528,z,9114
31/05/2024,17:36:10,Z,8551,z,8904
31/05/2024,17:36:10,Z,8528,z,8061
31/05/2024,17:36:11,Z,8505,z,8229
31/05/2024,17:36:11,Z,8505,z,8600
31/05/2024,17:36:12,Z,8528,z,8668
31/05/2024,17:36:12,Z,8528,z,8621
31/05/2024,17:36:13,Z,8505,z,8333
