 ,Area,Mean,Min,Max
1,0.090,255,255,255
2,0.059,255,255,255
3,0.051,255,255,255
4,0.071,255,255,255
5,0.075,255,255,255
6,0.067,255,255,255
7,0.072,255,255,255
8,0.063,255,255,255
9,0.056,255,255,255
10,0.076,255,255,255
11,0.056,255,255,255
12,0.051,255,255,255
13,0.085,255,255,255
14,0.079,255,255,255
15,0.082,255,255,255
16,0.066,255,255,255
17,0.073,255,255,255
18,0.043,255,255,255
19,0.062,255,255,255
20,0.067,255,255,255
21,0.087,255,255,255
22,0.027,255,255,255
23,0.149,255,255,255
24,0.074,255,255,255
25,0.063,255,255,255
26,0.078,255,255,255
27,0.039,255,255,255
28,0.063,255,255,255
29,0.071,255,255,255
30,0.068,255,255,255
31,0.068,255,255,255
32,0.039,255,255,255
33,0.059,255,255,255
34,0.061,255,255,255
35,0.077,255,255,255
36,0.111,255,255,255
37,0.078,255,255,255
38,0.059,255,255,255
39,0.074,255,255,255
40,0.068,255,255,255
41,0.071,255,255,255
42,0.058,255,255,255
43,0.044,255,255,255
44,0.033,255,255,255
45,0.061,255,255,255
46,0.031,255,255,255
47,0.073,255,255,255
48,0.053,255,255,255
49,0.135,255,255,255
50,0.064,255,255,255
51,0.037,255,255,255
52,0.052,255,255,255
53,0.048,255,255,255
54,0.063,255,255,255
55,0.075,255,255,255
56,0.156,255,255,255
57,0.072,255,255,255
58,0.060,255,255,255
59,0.083,255,255,255
60,0.077,255,255,255
61,0.149,255,255,255
62,0.146,255,255,255
63,0.074,255,255,255
64,0.030,255,255,255
65,0.106,255,255,255
66,0.022,255,255,255
67,0.062,255,255,255
