 ,Area,Mean,Min,Max
1,0.430,255,255,255
2,0.378,255,255,255
3,0.359,255,255,255
4,0.372,255,255,255
5,0.202,255,255,255
6,0.332,255,255,255
7,0.391,255,255,255
8,0.189,255,255,255
9,0.211,255,255,255
10,0.189,255,255,255
11,0.211,255,255,255
12,0.245,255,255,255
13,0.228,255,255,255
14,0.456,255,255,255
15,0.063,255,255,255
16,0.308,255,255,255
17,0.331,255,255,255
18,0.167,255,255,255
19,0.349,255,255,255
20,0.386,255,255,255
21,0.058,255,255,255
22,0.371,255,255,255
23,0.052,255,255,255
24,0.227,255,255,255
25,0.167,255,255,255
26,0.297,255,255,255
27,0.358,255,255,255
28,0.053,255,255,255
29,0.206,255,255,255
30,0.198,255,255,255
31,0.310,255,255,255
32,0.303,255,255,255
33,0.345,255,255,255
34,0.061,255,255,255
35,0.187,255,255,255
36,0.173,255,255,255
37,0.179,255,255,255
38,0.480,255,255,255
39,0.419,255,255,255
40,0.395,255,255,255
41,0.151,255,255,255
42,0.151,255,255,255
43,0.196,255,255,255
44,0.180,255,255,255
45,0.216,255,255,255
46,0.203,255,255,255
47,0.213,255,255,255
48,0.208,255,255,255
49,0.236,255,255,255
50,0.220,255,255,255
51,0.288,255,255,255
52,0.129,255,255,255
53,0.229,255,255,255
54,0.194,255,255,255
55,0.387,255,255,255
56,0.405,255,255,255
57,0.083,255,255,255
58,0.221,255,255,255
59,0.431,255,255,255
60,0.416,255,255,255
61,0.205,255,255,255
62,0.195,255,255,255
63,0.338,255,255,255
64,0.197,255,255,255
65,0.220,255,255,255
66,0.278,255,255,255
67,0.176,255,255,255
68,0.297,255,255,255
69,0.215,255,255,255
70,0.212,255,255,255
71,0.219,255,255,255
72,0.184,255,255,255
73,0.347,255,255,255
74,0.356,255,255,255
75,0.383,255,255,255
76,0.064,255,255,255
77,0.226,255,255,255
78,0.274,255,255,255
79,0.318,255,255,255
80,0.223,255,255,255
81,0.060,255,255,255
82,0.343,255,255,255
83,0.210,255,255,255
84,0.207,255,255,255
85,0.181,255,255,255
86,0.180,255,255,255
87,0.178,255,255,255
88,0.394,255,255,255
89,0.466,255,255,255
90,0.201,255,255,255
91,0.455,255,255,255
92,0.340,255,255,255
93,0.192,255,255,255
94,0.194,255,255,255
95,0.183,255,255,255
96,0.188,255,255,255
97,0.204,255,255,255
98,0.183,255,255,255
99,0.378,255,255,255
100,0.277,255,255,255
101,0.152,255,255,255
102,0.392,255,255,255
103,0.365,255,255,255
104,0.388,255,255,255
105,0.230,255,255,255
106,0.189,255,255,255
107,0.340,255,255,255
108,0.158,255,255,255
109,0.212,255,255,255
110,0.209,255,255,255
111,0.235,255,255,255
112,0.362,255,255,255
113,0.307,255,255,255
114,0.272,255,255,255
115,0.065,255,255,255
116,0.351,255,255,255
117,0.272,255,255,255
118,0.203,255,255,255
119,0.195,255,255,255
120,0.411,255,255,255
121,0.362,255,255,255
122,0.403,255,255,255
123,0.122,255,255,255
124,0.051,255,255,255
125,0.191,255,255,255
126,0.193,255,255,255
127,0.189,255,255,255
128,0.209,255,255,255
129,0.208,255,255,255
130,0.375,255,255,255
131,0.425,255,255,255
132,0.254,255,255,255
133,0.196,255,255,255
134,0.169,255,255,255
135,0.396,255,255,255
136,0.414,255,255,255
137,0.585,255,255,255
138,0.228,255,255,255
139,0.189,255,255,255
140,0.183,255,255,255
141,0.200,255,255,255
142,0.331,255,255,255
143,0.283,255,255,255
144,0.227,255,255,255
145,0.414,255,255,255
146,0.169,255,255,255
147,0.347,255,255,255
148,0.223,255,255,255
149,0.435,255,255,255
150,0.482,255,255,255
151,0.359,255,255,255
152,0.251,255,255,255
153,0.346,255,255,255
154,0.182,255,255,255
155,0.224,255,255,255
156,0.422,255,255,255
157,0.364,255,255,255
158,0.307,255,255,255
159,0.433,255,255,255
160,0.338,255,255,255
161,0.373,255,255,255
162,0.184,255,255,255
163,0.162,255,255,255
164,0.169,255,255,255
165,0.332,255,255,255
166,0.351,255,255,255
167,0.387,255,255,255
168,0.184,255,255,255
169,0.204,255,255,255
170,0.212,255,255,255
171,0.181,255,255,255
172,0.274,255,255,255
173,0.426,255,255,255
174,0.379,255,255,255
175,0.187,255,255,255
176,0.219,255,255,255
177,0.123,255,255,255
178,0.056,255,255,255
179,0.175,255,255,255
180,0.184,255,255,255
181,0.408,255,255,255
182,0.219,255,255,255
183,0.239,255,255,255
184,0.178,255,255,255
185,0.051,255,255,255
186,0.425,255,255,255
187,0.245,255,255,255
188,0.201,255,255,255
189,0.424,255,255,255
190,0.157,255,255,255
191,0.062,255,255,255
192,0.193,255,255,255
193,0.187,255,255,255
194,0.064,255,255,255
195,0.355,255,255,255
196,0.281,255,255,255
197,0.134,255,255,255
198,0.215,255,255,255
199,0.180,255,255,255
200,0.350,255,255,255
201,0.229,255,255,255
202,0.406,255,255,255
203,0.063,255,255,255
204,0.205,255,255,255
205,0.184,255,255,255
206,0.394,255,255,255
207,0.333,255,255,255
208,0.248,255,255,255
209,0.398,255,255,255
210,0.469,255,255,255
211,0.061,255,255,255
212,0.318,255,255,255
213,0.116,255,255,255
214,0.473,255,255,255
215,0.179,255,255,255
216,0.193,255,255,255
217,0.186,255,255,255
218,0.211,255,255,255
219,0.212,255,255,255
220,0.191,255,255,255
221,0.161,255,255,255
222,0.237,255,255,255
223,0.272,255,255,255
224,0.145,255,255,255
225,0.207,255,255,255
226,0.198,255,255,255
