Slice,Count,Total Area,Average Size,%Area,Mean
Basler_acA1920-25um__24398320__20240306_111538447_0000,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0001,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0002,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0003,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0004,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0005,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0006,2,0.148,0.074,2.304,255
Basler_acA1920-25um__24398320__20240306_111538447_0007,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0008,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0009,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0010,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0011,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0012,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0013,2,0.121,0.061,1.886,255
Basler_acA1920-25um__24398320__20240306_111538447_0014,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0015,2,0.142,0.071,2.208,255
Basler_acA1920-25um__24398320__20240306_111538447_0016,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0017,3,0.190,0.063,2.953,255
Basler_acA1920-25um__24398320__20240306_111538447_0018,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0019,3,0.183,0.061,2.843,255
Basler_acA1920-25um__24398320__20240306_111538447_0020,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0021,2,0.164,0.082,2.549,255
Basler_acA1920-25um__24398320__20240306_111538447_0022,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0023,2,0.148,0.074,2.304,255
Basler_acA1920-25um__24398320__20240306_111538447_0024,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0025,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0026,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0027,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0028,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0029,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0030,2,0.116,0.058,1.801,255
Basler_acA1920-25um__24398320__20240306_111538447_0031,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0032,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0033,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0034,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0035,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0036,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0037,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0038,2,0.129,0.064,1.999,255
Basler_acA1920-25um__24398320__20240306_111538447_0039,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0040,2,0.114,0.057,1.765,255
Basler_acA1920-25um__24398320__20240306_111538447_0041,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0042,1,0.149,0.149,2.308,255
Basler_acA1920-25um__24398320__20240306_111538447_0043,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0044,2,0.136,0.068,2.116,255
Basler_acA1920-25um__24398320__20240306_111538447_0045,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0046,2,0.117,0.059,1.819,255
Basler_acA1920-25um__24398320__20240306_111538447_0047,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240306_111538447_0048,2,0.134,0.067,2.081,255
