Slice,Count,Total Area,Average Size,%Area,Mean
Basler_acA1920-25um__24398320__20240305_170239698_0000,1,0.024,0.024,0.348,255
Basler_acA1920-25um__24398320__20240305_170239698_0001,1,0.024,0.024,0.348,255
Basler_acA1920-25um__24398320__20240305_170239698_0002,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0003,1,0.117,0.117,1.684,255
Basler_acA1920-25um__24398320__20240305_170239698_0004,1,0.117,0.117,1.684,255
Basler_acA1920-25um__24398320__20240305_170239698_0005,1,0.207,0.207,2.968,255
Basler_acA1920-25um__24398320__20240305_170239698_0006,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0007,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0008,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0009,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0010,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0011,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0012,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0013,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0014,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0015,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0016,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0017,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0018,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0019,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0020,1,0.144,0.144,2.059,255
Basler_acA1920-25um__24398320__20240305_170239698_0021,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0022,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0023,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0024,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0025,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0026,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0027,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0028,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0029,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0030,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0031,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0032,2,0.278,0.139,3.982,255
Basler_acA1920-25um__24398320__20240305_170239698_0033,2,0.278,0.139,3.982,255
Basler_acA1920-25um__24398320__20240305_170239698_0034,2,0.319,0.159,4.573,255
Basler_acA1920-25um__24398320__20240305_170239698_0035,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0036,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0037,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0038,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0039,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0040,1,0.029,0.029,0.417,255
Basler_acA1920-25um__24398320__20240305_170239698_0041,1,0.231,0.231,3.313,255
Basler_acA1920-25um__24398320__20240305_170239698_0042,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0043,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0044,1,0.112,0.112,1.609,255
Basler_acA1920-25um__24398320__20240305_170239698_0045,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0046,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0047,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0048,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0049,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0050,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0051,1,0.026,0.026,0.369,255
Basler_acA1920-25um__24398320__20240305_170239698_0052,1,0.026,0.026,0.369,255
Basler_acA1920-25um__24398320__20240305_170239698_0053,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0054,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0055,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0056,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0057,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0058,1,0.031,0.031,0.441,255
Basler_acA1920-25um__24398320__20240305_170239698_0059,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0060,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0061,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0062,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0063,1,0.026,0.026,0.372,255
Basler_acA1920-25um__24398320__20240305_170239698_0064,2,0.283,0.141,4.054,255
Basler_acA1920-25um__24398320__20240305_170239698_0065,1,0.204,0.204,2.927,255
Basler_acA1920-25um__24398320__20240305_170239698_0066,2,0.252,0.126,3.613,255
Basler_acA1920-25um__24398320__20240305_170239698_0067,1,0.025,0.025,0.362,255
Basler_acA1920-25um__24398320__20240305_170239698_0068,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0069,2,0.273,0.136,3.914,255
Basler_acA1920-25um__24398320__20240305_170239698_0070,1,0.226,0.226,3.248,255
Basler_acA1920-25um__24398320__20240305_170239698_0071,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0072,1,0.231,0.231,3.316,255
Basler_acA1920-25um__24398320__20240305_170239698_0073,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0074,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0075,1,0.230,0.230,3.299,255
Basler_acA1920-25um__24398320__20240305_170239698_0076,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0077,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0078,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0079,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0080,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0081,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0082,1,0.033,0.033,0.478,255
Basler_acA1920-25um__24398320__20240305_170239698_0083,1,0.136,0.136,1.943,255
Basler_acA1920-25um__24398320__20240305_170239698_0084,2,0.253,0.126,3.624,255
Basler_acA1920-25um__24398320__20240305_170239698_0085,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0086,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0087,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0088,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0089,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0090,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0091,1,0.108,0.108,1.547,255
Basler_acA1920-25um__24398320__20240305_170239698_0092,1,0.108,0.108,1.547,255
Basler_acA1920-25um__24398320__20240305_170239698_0093,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0094,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0095,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0096,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0097,2,0.257,0.129,3.692,255
Basler_acA1920-25um__24398320__20240305_170239698_0098,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0099,2,0.294,0.147,4.221,255
Basler_acA1920-25um__24398320__20240305_170239698_0100,2,0.308,0.154,4.416,255
Basler_acA1920-25um__24398320__20240305_170239698_0101,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0102,2,0.315,0.158,4.522,255
Basler_acA1920-25um__24398320__20240305_170239698_0103,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0104,2,0.285,0.143,4.092,255
Basler_acA1920-25um__24398320__20240305_170239698_0105,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0106,2,0.306,0.153,4.392,255
Basler_acA1920-25um__24398320__20240305_170239698_0107,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0108,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0109,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0110,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0111,1,0.053,0.053,0.758,255
Basler_acA1920-25um__24398320__20240305_170239698_0112,1,0.154,0.154,2.203,255
Basler_acA1920-25um__24398320__20240305_170239698_0113,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0114,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0115,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0116,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0117,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0118,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0119,1,0.149,0.149,2.135,255
Basler_acA1920-25um__24398320__20240305_170239698_0120,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0121,1,0.114,0.114,1.633,255
Basler_acA1920-25um__24398320__20240305_170239698_0122,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0123,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0124,2,0.292,0.146,4.184,255
Basler_acA1920-25um__24398320__20240305_170239698_0125,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0126,2,0.364,0.182,5.225,255
Basler_acA1920-25um__24398320__20240305_170239698_0127,1,0.166,0.166,2.380,255
Basler_acA1920-25um__24398320__20240305_170239698_0128,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0129,1,0.123,0.123,1.766,255
Basler_acA1920-25um__24398320__20240305_170239698_0130,1,0.161,0.161,2.312,255
Basler_acA1920-25um__24398320__20240305_170239698_0131,1,0.156,0.156,2.244,255
Basler_acA1920-25um__24398320__20240305_170239698_0132,1,0.142,0.142,2.039,255
Basler_acA1920-25um__24398320__20240305_170239698_0133,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0134,2,0.271,0.136,3.890,255
Basler_acA1920-25um__24398320__20240305_170239698_0135,1,0.230,0.230,3.292,255
Basler_acA1920-25um__24398320__20240305_170239698_0136,2,0.230,0.115,3.296,255
Basler_acA1920-25um__24398320__20240305_170239698_0137,1,0.036,0.036,0.519,255
Basler_acA1920-25um__24398320__20240305_170239698_0138,1,0.161,0.161,2.316,255
Basler_acA1920-25um__24398320__20240305_170239698_0139,1,0.173,0.173,2.486,255
Basler_acA1920-25um__24398320__20240305_170239698_0140,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0141,0,0.000,NaN,0.000,NaN
Basler_acA1920-25um__24398320__20240305_170239698_0142,2,0.227,0.113,3.251,255
Basler_acA1920-25um__24398320__20240305_170239698_0143,1,0.238,0.238,3.419,255
Basler_acA1920-25um__24398320__20240305_170239698_0144,1,0.161,0.161,2.309,255
