,DATE,TIME,C,%HR,,
1,21/03/2024,09:35:02,20,79,61,41
2,21/03/2024,09:36:02,21,7,54,27
3,21/03/2024,09:37:02,21,13,53,85
4,21/03/2024,09:38:02,21,4,53,83
5,21/03/2024,09:39:02,21,1,53,63
6,21/03/2024,09:40:02,21,0,53,37
7,21/03/2024,09:41:02,20,97,53,6
8,21/03/2024,09:42:02,20,93,52,72
9,21/03/2024,09:43:02,20,91,52,32
10,21/03/2024,09:44:02,20,89,51,86
11,21/03/2024,09:45:02,20,86,51,50
12,21/03/2024,09:46:02,20,85,51,4
13,21/03/2024,09:47:02,20,80,50,64
14,21/03/2024,09:48:02,20,80,50,23
15,21/03/2024,09:49:02,20,76,49,79
16,21/03/2024,09:50:02,20,75,49,38
17,21/03/2024,09:51:02,20,72,48,99
18,21/03/2024,09:52:02,20,70,48,63
19,21/03/2024,09:53:02,20,68,48,20
20,21/03/2024,09:54:02,20,68,47,83
21,21/03/2024,09:55:02,20,65,47,50
22,21/03/2024,09:56:02,20,62,47,13
23,21/03/2024,09:57:02,20,60,46,86
24,21/03/2024,09:58:02,20,60,46,54
25,21/03/2024,09:59:02,20,56,46,29
26,21/03/2024,10:00:02,20,55,45,94
27,21/03/2024,10:01:02,20,51,45,69
28,21/03/2024,10:02:02,20,53,45,49
29,21/03/2024,10:03:02,20,51,45,17
30,21/03/2024,10:04:02,20,48,44,85
31,21/03/2024,10:05:02,20,49,44,70
32,21/03/2024,10:06:02,20,46,44,49
33,21/03/2024,10:07:02,20,45,44,24
34,21/03/2024,10:08:02,20,45,44,2
35,21/03/2024,10:09:02,20,42,43,84
36,21/03/2024,10:10:02,20,42,43,56
37,21/03/2024,10:11:02,20,41,43,42
38,21/03/2024,10:12:02,20,38,43,18
39,21/03/2024,10:13:02,20,41,43,2
40,21/03/2024,10:14:02,20,39,42,74
41,21/03/2024,10:15:02,20,39,42,51
42,21/03/2024,10:16:02,20,35,42,37
43,21/03/2024,10:17:02,20,34,42,13
44,21/03/2024,10:18:02,20,32,41,93
45,21/03/2024,10:19:02,20,35,41,76
46,21/03/2024,10:20:02,20,34,41,57
47,21/03/2024,10:21:02,20,32,41,38
48,21/03/2024,10:22:02,20,32,41,24
49,21/03/2024,10:23:02,20,32,41,9
50,21/03/2024,10:24:02,20,28,41,3
51,21/03/2024,10:25:02,20,30,40,79
52,21/03/2024,10:26:02,20,28,40,61
53,21/03/2024,10:27:02,20,30,40,49
54,21/03/2024,10:28:02,20,28,40,35
55,21/03/2024,10:29:02,20,28,40,20
56,21/03/2024,10:30:02,20,27,40,3
57,21/03/2024,10:31:02,20,25,39,94
58,21/03/2024,10:32:02,20,25,39,74
59,21/03/2024,10:33:02,20,25,39,61
60,21/03/2024,10:34:02,20,25,39,58
61,21/03/2024,10:35:02,20,25,39,39
62,21/03/2024,10:36:02,20,24,39,27
63,21/03/2024,10:37:02,20,22,39,10
64,21/03/2024,10:38:02,20,24,39,3
65,21/03/2024,10:39:02,20,25,38,95
66,21/03/2024,10:40:02,20,20,38,77
67,21/03/2024,10:41:02,20,22,38,62
68,21/03/2024,10:42:02,20,24,38,51
69,21/03/2024,10:43:02,20,22,38,42
70,21/03/2024,10:44:02,20,18,38,34
71,21/03/2024,10:45:02,20,20,38,30
72,21/03/2024,10:46:02,20,20,38,29
73,21/03/2024,10:47:02,20,21,38,6
74,21/03/2024,10:48:02,20,20,38,3
75,21/03/2024,10:49:02,20,21,37,94
76,21/03/2024,10:50:02,20,20,38,0
77,21/03/2024,10:51:02,20,18,38,13
78,21/03/2024,10:52:02,20,18,38,4
79,21/03/2024,10:53:02,20,17,38,16
80,21/03/2024,10:54:02,20,21,38,15
81,21/03/2024,10:55:02,20,18,38,18
82,21/03/2024,10:56:02,20,17,38,18
83,21/03/2024,10:57:02,20,17,38,27
84,21/03/2024,10:58:02,20,17,38,33
85,21/03/2024,10:59:02,20,17,38,30
86,21/03/2024,11:00:02,20,17,38,39
87,21/03/2024,11:01:02,20,17,38,43
88,21/03/2024,11:02:02,20,17,38,48
89,21/03/2024,11:03:02,20,15,38,49
90,21/03/2024,11:04:02,20,17,38,66
91,21/03/2024,11:05:02,20,17,38,60
92,21/03/2024,11:06:02,20,18,38,66
93,21/03/2024,11:07:02,20,15,38,73
94,21/03/2024,11:08:02,20,17,38,79
95,21/03/2024,11:09:02,20,14,38,75
96,21/03/2024,11:10:02,20,17,38,87
97,21/03/2024,11:11:02,20,15,38,91
98,21/03/2024,11:12:02,20,14,39,3
99,21/03/2024,11:13:02,20,15,39,3
100,21/03/2024,11:14:02,20,14,39,9
101,21/03/2024,11:15:02,20,14,39,11
102,21/03/2024,11:16:02,20,14,39,20
103,21/03/2024,11:17:02,20,12,39,21
104,21/03/2024,11:18:02,20,14,39,24
105,21/03/2024,11:19:02,20,12,39,33
106,21/03/2024,11:20:02,20,17,39,36
107,21/03/2024,11:21:02,20,18,39,44
108,21/03/2024,11:22:02,20,14,39,53
109,21/03/2024,11:23:02,20,18,39,53
110,21/03/2024,11:24:02,20,17,39,62
111,21/03/2024,11:25:02,20,17,39,62
112,21/03/2024,11:26:02,20,18,39,68
113,21/03/2024,11:27:02,20,20,39,71
114,21/03/2024,11:28:02,20,20,39,77
115,21/03/2024,11:29:02,20,15,39,77
116,21/03/2024,11:30:02,20,17,39,86
117,21/03/2024,11:31:02,20,18,39,92
118,21/03/2024,11:32:02,20,17,39,98
119,21/03/2024,11:33:02,20,21,40,1
120,21/03/2024,11:34:02,20,20,40,3
121,21/03/2024,11:35:02,20,20,40,9
122,21/03/2024,11:36:02,20,21,40,15
123,21/03/2024,11:37:02,20,21,40,16
124,21/03/2024,11:38:02,20,20,40,19
125,21/03/2024,11:39:02,20,21,40,32
126,21/03/2024,11:40:02,20,21,40,33
127,21/03/2024,11:41:02,20,20,40,39
128,21/03/2024,11:42:02,20,21,40,44
129,21/03/2024,11:43:02,20,20,40,50
130,21/03/2024,11:44:02,20,24,40,54
131,21/03/2024,11:45:02,20,21,40,60
132,21/03/2024,11:46:02,20,25,40,67
