,,DATE,TIME,C,%HR,
1,20/03/2024,13:40:50,24,4,54,73
2,20/03/2024,13:41:50,24,15,50,43
3,20/03/2024,13:42:50,23,88,54,64
4,20/03/2024,13:43:50,23,67,59,80
5,20/03/2024,13:44:50,23,46,61,25
6,20/03/2024,13:45:50,23,30,58,98
7,20/03/2024,13:46:50,23,18,56,60
8,20/03/2024,13:47:50,23,6,54,32
9,20/03/2024,13:48:50,22,93,52,75
10,20/03/2024,13:49:50,22,83,51,43
11,20/03/2024,13:50:50,22,71,50,19
12,20/03/2024,13:51:50,22,64,49,45
13,20/03/2024,13:52:50,22,57,48,61
14,20/03/2024,13:53:50,22,48,47,97
15,20/03/2024,13:54:50,22,41,47,60
16,20/03/2024,13:55:50,22,37,47,63
17,20/03/2024,13:56:50,22,28,47,96
18,20/03/2024,13:57:50,22,24,48,48
19,20/03/2024,13:58:50,22,20,49,22
20,20/03/2024,13:59:50,22,12,50,1
21,20/03/2024,14:00:50,22,7,50,81
22,20/03/2024,14:01:50,22,5,51,66
23,20/03/2024,14:02:50,21,99,52,41
24,20/03/2024,14:03:50,21,95,53,12
25,20/03/2024,14:04:50,21,95,53,91
26,20/03/2024,14:05:50,21,92,54,58
27,20/03/2024,14:06:50,21,86,55,17
28,20/03/2024,14:07:50,21,85,55,82
29,20/03/2024,14:08:50,21,83,56,38
30,20/03/2024,14:09:50,21,77,56,83
31,20/03/2024,14:10:50,21,76,57,42
32,20/03/2024,14:11:50,21,73,57,86
33,20/03/2024,14:12:50,21,75,58,19
34,20/03/2024,14:13:50,21,72,58,61
35,20/03/2024,14:14:50,21,71,58,97
36,20/03/2024,14:15:50,21,71,59,31
37,20/03/2024,14:16:50,21,68,59,54
38,20/03/2024,14:17:50,21,65,59,76
39,20/03/2024,14:18:50,21,66,59,90
40,20/03/2024,14:19:50,21,66,60,4
41,20/03/2024,14:20:50,21,62,60,19
42,20/03/2024,14:21:50,21,61,60,31
43,20/03/2024,14:22:50,21,64,60,42
44,20/03/2024,14:23:50,21,61,60,48
45,20/03/2024,14:24:50,21,59,60,52
46,20/03/2024,14:25:50,21,59,60,67
47,20/03/2024,14:26:50,21,61,60,72
48,20/03/2024,14:27:50,21,56,60,72
49,20/03/2024,14:28:50,21,58,60,76
50,20/03/2024,14:29:50,21,58,60,79
51,20/03/2024,14:30:50,21,56,60,78
52,20/03/2024,14:31:50,21,56,60,85
53,20/03/2024,14:32:50,21,58,60,92
54,20/03/2024,14:33:50,21,55,60,89
55,20/03/2024,14:34:50,21,55,61,0
56,20/03/2024,14:35:50,21,58,61,24
57,20/03/2024,14:36:50,21,56,61,80
58,20/03/2024,14:37:50,21,56,62,52
59,20/03/2024,14:38:50,21,59,62,62
60,20/03/2024,14:39:50,21,58,61,98
61,20/03/2024,14:40:50,21,61,61,14
62,20/03/2024,14:41:50,21,59,60,18
