Date,Hour,Media,Media value concentration,Value,Concentration
22/05/2024,10:38:20,Z,0,z,0
22/05/2024,10:38:21,Z,0,z,0
22/05/2024,10:38:21,Z,0,z,0
22/05/2024,10:38:22,Z,0,z,1
22/05/2024,10:38:22,Z,0,z,0
22/05/2024,10:38:23,Z,0,z,0
22/05/2024,10:38:23,Z,0,z,1
22/05/2024,10:38:24,Z,0,z,1
22/05/2024,10:38:24,Z,0,z,1
22/05/2024,10:38:25,Z,0,z,1
22/05/2024,10:38:25,Z,0,z,0
22/05/2024,10:38:26,Z,0,z,0
22/05/2024,10:38:26,Z,0,z,1
22/05/2024,10:38:27,Z,1,z,1
22/05/2024,10:38:27,Z,1,z,1
22/05/2024,10:38:28,Z,1,z,0
22/05/2024,10:38:28,Z,0,z,0
22/05/2024,10:38:29,Z,0,z,1
22/05/2024,10:38:29,Z,0,z,1
22/05/2024,10:38:30,Z,0,z,0
22/05/2024,10:38:30,Z,0,z,0
22/05/2024,10:38:31,Z,0,z,0
22/05/2024,10:38:31,Z,0,z,0
22/05/2024,10:38:32,Z,0,z,0
22/05/2024,10:38:32,Z,0,z,0
22/05/2024,10:38:33,Z,0,z,0
22/05/2024,10:38:33,Z,0,z,0
22/05/2024,10:38:34,Z,0,z,1
22/05/2024,10:38:34,Z,0,z,1
22/05/2024,10:38:35,Z,0,z,1
22/05/2024,10:38:35,Z,0,z,1
22/05/2024,10:38:36,Z,1,z,2
22/05/2024,10:38:36,Z,1,z,1
22/05/2024,10:38:37,Z,0,z,0
22/05/2024,10:38:37,Z,0,z,0
22/05/2024,10:38:38,Z,1,z,1
22/05/2024,10:38:38,Z,1,z,2
22/05/2024,10:38:39,Z,1,z,1
22/05/2024,10:38:39,Z,1,z,1
22/05/2024,10:38:40,Z,1,z,0
22/05/2024,10:38:40,Z,1,z,1
22/05/2024,10:38:41,Z,1,z,3
22/05/2024,10:38:41,Z,1,z,1
22/05/2024,10:38:42,Z,1,z,0
22/05/2024,10:38:42,Z,1,z,0
22/05/2024,10:38:43,Z,1,z,0
22/05/2024,10:38:43,Z,1,z,1
22/05/2024,10:38:44,Z,1,z,3
22/05/2024,10:38:44,Z,1,z,1
22/05/2024,10:38:45,Z,1,z,1
22/05/2024,10:38:45,Z,1,z,1
22/05/2024,10:38:46,Z,1,z,1
22/05/2024,10:38:46,Z,1,z,0
22/05/2024,10:38:47,Z,1,z,0
22/05/2024,10:38:47,Z,0,z,0
22/05/2024,10:38:48,Z,0,z,1
22/05/2024,10:38:48,Z,1,z,1
22/05/2024,10:38:49,Z,1,z,0
22/05/2024,10:38:49,Z,0,z,0
22/05/2024,10:38:50,Z,1,z,2
22/05/2024,10:38:50,Z,1,z,3
22/05/2024,10:38:51,Z,1,z,0
22/05/2024,10:38:51,Z,1,z,0
22/05/2024,10:38:52,Z,1,z,1
22/05/2024,10:38:52,Z,1,z,1
22/05/2024,10:38:53,Z,1,z,2
22/05/2024,10:38:53,Z,1,z,2
22/05/2024,10:38:54,Z,1,z,2
22/05/2024,10:38:54,Z,1,z,1
22/05/2024,10:38:55,Z,1,z,0
22/05/2024,10:38:55,Z,1,z,1
22/05/2024,10:38:56,Z,1,z,1
22/05/2024,10:38:56,Z,1,z,0
22/05/2024,10:38:57,Z,1,z,0
22/05/2024,10:38:57,Z,1,z,2
22/05/2024,10:38:58,Z,1,z,1
22/05/2024,10:38:58,Z,1,z,0
22/05/2024,10:38:59,Z,1,z,0
22/05/2024,10:38:59,Z,1,z,1
22/05/2024,10:39:00,Z,1,z,1
22/05/2024,10:39:00,Z,1,z,2
22/05/2024,10:39:01,Z,1,z,1
22/05/2024,10:39:01,Z,1,z,1
22/05/2024,10:39:02,Z,1,z,2
22/05/2024,10:39:02,Z,1,z,2
22/05/2024,10:39:03,Z,1,z,1
22/05/2024,10:39:03,Z,1,z,0
22/05/2024,10:39:04,Z,1,z,1
22/05/2024,10:39:04,Z,1,z,0
22/05/2024,10:39:05,Z,1,z,0
22/05/2024,10:39:05,Z,1,z,1
22/05/2024,10:39:06,Z,1,z,1
22/05/2024,10:39:06,Z,1,z,1
22/05/2024,10:39:07,Z,1,z,2
22/05/2024,10:39:07,Z,1,z,1
22/05/2024,10:39:08,Z,1,z,1
22/05/2024,10:39:08,Z,1,z,1
22/05/2024,10:39:09,Z,1,z,1
22/05/2024,10:39:09,Z,1,z,1
22/05/2024,10:39:10,Z,1,z,1
22/05/2024,10:39:10,Z,1,z,1
22/05/2024,10:39:11,Z,1,z,1
