Date,Hour,Media,Media value concentration,Value,Concentration
28/05/2024,11:30:07,Z,4,z,5
28/05/2024,11:30:08,Z,4,z,4
28/05/2024,11:30:08,Z,4,z,4
28/05/2024,11:30:09,Z,4,z,4
28/05/2024,11:30:09,Z,4,z,4
28/05/2024,11:30:10,Z,4,z,2
28/05/2024,11:30:10,Z,4,z,1
28/05/2024,11:30:11,Z,4,z,3
28/05/2024,11:30:11,Z,4,z,5
28/05/2024,11:30:12,Z,4,z,5
28/05/2024,11:30:12,Z,4,z,5
28/05/2024,11:30:13,Z,4,z,5
28/05/2024,11:30:13,Z,4,z,4
28/05/2024,11:30:14,Z,4,z,3
28/05/2024,11:30:14,Z,4,z,2
28/05/2024,11:30:15,Z,4,z,1
28/05/2024,11:30:15,Z,4,z,3
28/05/2024,11:30:16,Z,4,z,4
28/05/2024,11:30:16,Z,4,z,3
28/05/2024,11:30:17,Z,4,z,3
28/05/2024,11:30:17,Z,4,z,4
28/05/2024,11:30:18,Z,4,z,4
28/05/2024,11:30:18,Z,4,z,5
28/05/2024,11:30:19,Z,4,z,4
28/05/2024,11:30:19,Z,4,z,2
28/05/2024,11:30:20,Z,4,z,3
28/05/2024,11:30:20,Z,4,z,4
28/05/2024,11:30:21,Z,4,z,4
28/05/2024,11:30:21,Z,4,z,4
28/05/2024,11:30:22,Z,4,z,4
28/05/2024,11:30:22,Z,4,z,3
28/05/2024,11:30:23,Z,4,z,3
28/05/2024,11:30:23,Z,4,z,4
28/05/2024,11:30:24,Z,4,z,2
28/05/2024,11:30:24,Z,4,z,2
28/05/2024,11:30:25,Z,4,z,4
28/05/2024,11:30:25,Z,4,z,4
28/05/2024,11:30:26,Z,4,z,2
28/05/2024,11:30:26,Z,4,z,3
28/05/2024,11:30:27,Z,4,z,4
28/05/2024,11:30:27,Z,4,z,3
28/05/2024,11:30:28,Z,3,z,2
28/05/2024,11:30:28,Z,3,z,3
28/05/2024,11:30:29,Z,4,z,5
28/05/2024,11:30:29,Z,4,z,5
28/05/2024,11:30:30,Z,4,z,4
28/05/2024,11:30:30,Z,4,z,4
28/05/2024,11:30:31,Z,4,z,4
28/05/2024,11:30:31,Z,4,z,4
28/05/2024,11:30:32,Z,4,z,4
28/05/2024,11:30:32,Z,4,z,4
28/05/2024,11:30:33,Z,4,z,5
28/05/2024,11:30:33,Z,4,z,5
28/05/2024,11:30:34,Z,4,z,4
28/05/2024,11:30:34,Z,4,z,3
28/05/2024,11:30:35,Z,4,z,3
28/05/2024,11:30:35,Z,4,z,5
28/05/2024,11:30:36,Z,4,z,5
28/05/2024,11:30:36,Z,4,z,4
28/05/2024,11:30:37,Z,4,z,4
28/05/2024,11:30:37,Z,4,z,4
28/05/2024,11:30:38,Z,4,z,3
28/05/2024,11:30:38,Z,4,z,4
28/05/2024,11:30:39,Z,4,z,5
28/05/2024,11:30:39,Z,4,z,4
28/05/2024,11:30:40,Z,4,z,4
28/05/2024,11:30:40,Z,4,z,5
28/05/2024,11:30:41,Z,4,z,5
28/05/2024,11:30:41,Z,4,z,4
28/05/2024,11:30:42,Z,4,z,4
28/05/2024,11:30:42,Z,4,z,4
28/05/2024,11:30:43,Z,4,z,3
28/05/2024,11:30:43,Z,4,z,4
28/05/2024,11:30:44,Z,4,z,4
28/05/2024,11:30:44,Z,4,z,3
28/05/2024,11:30:45,Z,4,z,4
28/05/2024,11:30:45,Z,4,z,5
28/05/2024,11:30:46,Z,4,z,4
28/05/2024,11:30:46,Z,4,z,3
28/05/2024,11:30:47,Z,4,z,2
28/05/2024,11:30:47,Z,4,z,3
28/05/2024,11:30:48,Z,4,z,2
28/05/2024,11:30:48,Z,4,z,5
28/05/2024,11:30:49,Z,4,z,5
28/05/2024,11:30:49,Z,4,z,4
28/05/2024,11:30:50,Z,4,z,3
28/05/2024,11:30:50,Z,4,z,2
28/05/2024,11:30:51,Z,4,z,3
28/05/2024,11:30:51,Z,4,z,4
28/05/2024,11:30:52,Z,4,z,4
28/05/2024,11:30:52,Z,4,z,4
28/05/2024,11:30:53,Z,4,z,3
28/05/2024,11:30:53,Z,4,z,0
28/05/2024,11:30:54,Z,4,z,1
28/05/2024,11:30:54,Z,4,z,3
28/05/2024,11:30:55,Z,4,z,4
28/05/2024,11:30:55,Z,4,z,4
28/05/2024,11:30:56,Z,4,z,4
28/05/2024,11:30:56,Z,4,z,3
28/05/2024,11:30:57,Z,4,z,4
28/05/2024,11:30:57,Z,4,z,4
28/05/2024,11:30:57,Z,4,z,3
28/05/2024,11:30:58,Z,4,z,3
28/05/2024,11:30:58,Z,4,z,4
28/05/2024,11:30:59,Z,4,z,4
28/05/2024,11:30:59,Z,4,z,4
28/05/2024,11:31:00,Z,4,z,4
28/05/2024,11:31:00,Z,4,z,4
28/05/2024,11:31:01,Z,4,z,4
28/05/2024,11:31:01,Z,4,z,4
28/05/2024,11:31:02,Z,4,z,4
28/05/2024,11:31:02,Z,4,z,4
28/05/2024,11:31:03,Z,4,z,4
28/05/2024,11:31:03,Z,4,z,5
28/05/2024,11:31:04,Z,4,z,4
28/05/2024,11:31:04,Z,4,z,4
28/05/2024,11:31:05,Z,4,z,4
28/05/2024,11:31:05,Z,4,z,5
28/05/2024,11:31:06,Z,4,z,4
28/05/2024,11:31:06,Z,4,z,4
28/05/2024,11:31:07,Z,4,z,5
28/05/2024,11:31:07,Z,4,z,5
28/05/2024,11:31:08,Z,4,z,2
28/05/2024,11:31:08,Z,4,z,2
28/05/2024,11:31:09,Z,4,z,2
28/05/2024,11:31:09,Z,4,z,1
28/05/2024,11:31:10,Z,4,z,1
28/05/2024,11:31:10,Z,4,z,1
28/05/2024,11:31:11,Z,4,z,3
28/05/2024,11:31:11,Z,3,z,2
28/05/2024,11:31:12,Z,3,z,3
28/05/2024,11:31:12,Z,4,z,5
28/05/2024,11:31:13,Z,4,z,4
28/05/2024,11:31:13,Z,4,z,4
28/05/2024,11:31:14,Z,4,z,3
28/05/2024,11:31:14,Z,4,z,4
28/05/2024,11:31:15,Z,4,z,4
28/05/2024,11:31:15,Z,4,z,3
28/05/2024,11:31:16,Z,4,z,3
28/05/2024,11:31:16,Z,4,z,4
28/05/2024,11:31:17,Z,4,z,2
28/05/2024,11:31:17,Z,3,z,1
28/05/2024,11:31:18,Z,3,z,3
28/05/2024,11:31:18,Z,3,z,3
28/05/2024,11:31:19,Z,3,z,4
28/05/2024,11:31:19,Z,3,z,4
28/05/2024,11:31:20,Z,4,z,4
28/05/2024,11:31:20,Z,4,z,5
28/05/2024,11:31:21,Z,4,z,5
28/05/2024,11:31:21,Z,4,z,5
28/05/2024,11:31:22,Z,4,z,4
28/05/2024,11:31:22,Z,4,z,3
28/05/2024,11:31:23,Z,4,z,3
28/05/2024,11:31:23,Z,4,z,3
28/05/2024,11:31:24,Z,4,z,2
28/05/2024,11:31:24,Z,4,z,3
28/05/2024,11:31:25,Z,4,z,4
28/05/2024,11:31:25,Z,4,z,4
28/05/2024,11:31:26,Z,4,z,4
28/05/2024,11:31:26,Z,4,z,4
28/05/2024,11:31:27,Z,4,z,4
28/05/2024,11:31:27,Z,4,z,3
28/05/2024,11:31:28,Z,4,z,4
28/05/2024,11:31:28,Z,4,z,3
28/05/2024,11:31:29,Z,4,z,2
28/05/2024,11:31:29,Z,4,z,4
28/05/2024,11:31:30,Z,4,z,4
28/05/2024,11:31:30,Z,4,z,3
28/05/2024,11:31:31,Z,4,z,2
28/05/2024,11:31:31,Z,4,z,4
28/05/2024,11:31:32,Z,4,z,4
28/05/2024,11:31:32,Z,3,z,2
28/05/2024,11:31:33,Z,3,z,3
28/05/2024,11:31:33,Z,3,z,3
28/05/2024,11:31:34,Z,3,z,3
28/05/2024,11:31:34,Z,3,z,3
28/05/2024,11:31:35,Z,3,z,3
28/05/2024,11:31:35,Z,3,z,3
28/05/2024,11:31:36,Z,3,z,4
28/05/2024,11:31:36,Z,3,z,4
28/05/2024,11:31:37,Z,4,z,4
28/05/2024,11:31:37,Z,4,z,4
28/05/2024,11:31:38,Z,4,z,4
28/05/2024,11:31:38,Z,4,z,5
28/05/2024,11:31:39,Z,4,z,5
28/05/2024,11:31:39,Z,4,z,5
28/05/2024,11:31:40,Z,4,z,4
28/05/2024,11:31:40,Z,4,z,4
28/05/2024,11:31:41,Z,4,z,3
28/05/2024,11:31:41,Z,4,z,3
28/05/2024,11:31:42,Z,4,z,5
28/05/2024,11:31:42,Z,4,z,4
28/05/2024,11:31:43,Z,4,z,3
28/05/2024,11:31:43,Z,4,z,4
28/05/2024,11:31:44,Z,4,z,4
28/05/2024,11:31:44,Z,4,z,3
28/05/2024,11:31:45,Z,4,z,1
28/05/2024,11:31:45,Z,4,z,3
28/05/2024,11:31:46,Z,4,z,3
28/05/2024,11:31:46,Z,4,z,4
28/05/2024,11:31:47,Z,4,z,5
28/05/2024,11:31:47,Z,4,z,4
28/05/2024,11:31:48,Z,4,z,3
28/05/2024,11:31:48,Z,4,z,4
28/05/2024,11:31:49,Z,4,z,3
28/05/2024,11:31:49,Z,4,z,3
28/05/2024,11:31:50,Z,4,z,3
28/05/2024,11:31:50,Z,4,z,3
28/05/2024,11:31:51,Z,4,z,4
28/05/2024,11:31:51,Z,4,z,4
28/05/2024,11:31:52,Z,4,z,3
28/05/2024,11:31:52,Z,4,z,3
28/05/2024,11:31:53,Z,4,z,5
28/05/2024,11:31:53,Z,4,z,4
28/05/2024,11:31:54,Z,4,z,3
28/05/2024,11:31:54,Z,4,z,3
28/05/2024,11:31:55,Z,4,z,3
28/05/2024,11:31:55,Z,4,z,3
28/05/2024,11:31:56,Z,4,z,4
28/05/2024,11:31:56,Z,4,z,4
28/05/2024,11:31:57,Z,4,z,2
28/05/2024,11:31:57,Z,4,z,3
28/05/2024,11:31:58,Z,4,z,4
28/05/2024,11:31:58,Z,4,z,4
28/05/2024,11:31:59,Z,4,z,4
28/05/2024,11:31:59,Z,4,z,4
28/05/2024,11:32:00,Z,4,z,4
28/05/2024,11:32:00,Z,4,z,3
28/05/2024,11:32:01,Z,4,z,4
28/05/2024,11:32:01,Z,4,z,3
28/05/2024,11:32:02,Z,4,z,3
28/05/2024,11:32:02,Z,4,z,4
28/05/2024,11:32:03,Z,4,z,4
28/05/2024,11:32:03,Z,4,z,5
28/05/2024,11:32:04,Z,4,z,4
28/05/2024,11:32:04,Z,4,z,3
28/05/2024,11:32:05,Z,4,z,4
28/05/2024,11:32:05,Z,4,z,4
28/05/2024,11:32:06,Z,4,z,4
28/05/2024,11:32:06,Z,4,z,4
28/05/2024,11:32:07,Z,4,z,5
28/05/2024,11:32:07,Z,4,z,4
28/05/2024,11:32:08,Z,4,z,3
28/05/2024,11:32:08,Z,4,z,3
28/05/2024,11:32:09,Z,4,z,3
28/05/2024,11:32:09,Z,4,z,2
28/05/2024,11:32:10,Z,3,z,1
28/05/2024,11:32:10,Z,3,z,3
28/05/2024,11:32:11,Z,3,z,2
28/05/2024,11:32:11,Z,3,z,4
28/05/2024,11:32:12,Z,4,z,5
28/05/2024,11:32:12,Z,4,z,3
28/05/2024,11:32:13,Z,3,z,3
28/05/2024,11:32:13,Z,3,z,2
28/05/2024,11:32:14,Z,3,z,3
28/05/2024,11:32:14,Z,3,z,4
28/05/2024,11:32:15,Z,3,z,4
28/05/2024,11:32:15,Z,4,z,4
28/05/2024,11:32:16,Z,3,z,2
28/05/2024,11:32:16,Z,3,z,2
28/05/2024,11:32:17,Z,3,z,3
28/05/2024,11:32:17,Z,3,z,4
28/05/2024,11:32:17,Z,3,z,4
28/05/2024,11:32:18,Z,3,z,4
28/05/2024,11:32:18,Z,4,z,4
28/05/2024,11:32:19,Z,4,z,4
28/05/2024,11:32:19,Z,4,z,4
28/05/2024,11:32:20,Z,4,z,4
28/05/2024,11:32:20,Z,4,z,3
28/05/2024,11:32:21,Z,4,z,3
28/05/2024,11:32:21,Z,4,z,4
28/05/2024,11:32:22,Z,4,z,4
28/05/2024,11:32:22,Z,4,z,3
28/05/2024,11:32:23,Z,4,z,4
28/05/2024,11:32:23,Z,4,z,4
28/05/2024,11:32:24,Z,4,z,3
28/05/2024,11:32:24,Z,4,z,4
28/05/2024,11:32:25,Z,4,z,4
28/05/2024,11:32:25,Z,4,z,3
28/05/2024,11:32:26,Z,4,z,2
28/05/2024,11:32:26,Z,3,z,3
28/05/2024,11:32:27,Z,3,z,4
28/05/2024,11:32:27,Z,4,z,4
28/05/2024,11:32:28,Z,4,z,5
28/05/2024,11:32:28,Z,4,z,5
28/05/2024,11:32:29,Z,4,z,3
28/05/2024,11:32:29,Z,4,z,2
28/05/2024,11:32:30,Z,4,z,4
28/05/2024,11:32:30,Z,4,z,4
28/05/2024,11:32:31,Z,4,z,3
28/05/2024,11:32:31,Z,4,z,3
28/05/2024,11:32:32,Z,4,z,3
28/05/2024,11:32:32,Z,3,z,2
28/05/2024,11:32:33,Z,3,z,3
28/05/2024,11:32:33,Z,3,z,3
28/05/2024,11:32:34,Z,3,z,3
28/05/2024,11:32:34,Z,3,z,3
28/05/2024,11:32:35,Z,3,z,4
28/05/2024,11:32:35,Z,3,z,4
28/05/2024,11:32:36,Z,3,z,3
28/05/2024,11:32:36,Z,3,z,3
28/05/2024,11:32:37,Z,3,z,4
28/05/2024,11:32:37,Z,3,z,4
28/05/2024,11:32:38,Z,4,z,4
28/05/2024,11:32:38,Z,4,z,4
28/05/2024,11:32:39,Z,4,z,4
28/05/2024,11:32:39,Z,3,z,2
28/05/2024,11:32:40,Z,3,z,1
28/05/2024,11:32:40,Z,3,z,3
28/05/2024,11:32:41,Z,3,z,4
28/05/2024,11:32:41,Z,3,z,3
28/05/2024,11:32:42,Z,3,z,2
28/05/2024,11:32:42,Z,3,z,4
28/05/2024,11:32:43,Z,3,z,4
28/05/2024,11:32:43,Z,3,z,4
28/05/2024,11:32:44,Z,3,z,1
28/05/2024,11:32:44,Z,3,z,1
28/05/2024,11:32:45,Z,3,z,3
28/05/2024,11:32:45,Z,3,z,3
28/05/2024,11:32:46,Z,3,z,3
28/05/2024,11:32:46,Z,3,z,2
28/05/2024,11:32:47,Z,3,z,3
28/05/2024,11:32:47,Z,3,z,4
28/05/2024,11:32:48,Z,3,z,3
28/05/2024,11:32:48,Z,3,z,4
28/05/2024,11:32:49,Z,3,z,5
28/05/2024,11:32:49,Z,4,z,5
28/05/2024,11:32:50,Z,4,z,4
28/05/2024,11:32:50,Z,4,z,4
