Date,Hour,Media,Media value concentration,Value,Concentration
29/05/2024,12:10:24,Z,2,z,3
29/05/2024,12:10:24,Z,2,z,4
29/05/2024,12:10:25,Z,2,z,2
29/05/2024,12:10:25,Z,2,z,2
29/05/2024,12:10:26,Z,2,z,2
29/05/2024,12:10:26,Z,2,z,2
29/05/2024,12:10:27,Z,2,z,2
29/05/2024,12:10:27,Z,2,z,2
29/05/2024,12:10:28,Z,2,z,2
29/05/2024,12:10:28,Z,2,z,3
29/05/2024,12:10:29,Z,2,z,1
29/05/2024,12:10:29,Z,2,z,2
29/05/2024,12:10:30,Z,2,z,1
29/05/2024,12:10:30,Z,2,z,1
29/05/2024,12:10:31,Z,2,z,4
29/05/2024,12:10:31,Z,2,z,5
29/05/2024,12:10:32,Z,2,z,4
29/05/2024,12:10:32,Z,2,z,2
29/05/2024,12:10:33,Z,2,z,2
29/05/2024,12:10:33,Z,2,z,2
29/05/2024,12:10:34,Z,2,z,3
29/05/2024,12:10:34,Z,2,z,3
29/05/2024,12:10:35,Z,2,z,1
29/05/2024,12:10:35,Z,2,z,0
29/05/2024,12:10:36,Z,2,z,0
29/05/2024,12:10:36,Z,2,z,0
29/05/2024,12:10:37,Z,2,z,3
29/05/2024,12:10:37,Z,2,z,4
29/05/2024,12:10:38,Z,2,z,2
29/05/2024,12:10:38,Z,2,z,1
29/05/2024,12:10:39,Z,2,z,1
29/05/2024,12:10:39,Z,2,z,0
29/05/2024,12:10:40,Z,2,z,0
29/05/2024,12:10:40,Z,2,z,2
29/05/2024,12:10:41,Z,2,z,3
29/05/2024,12:10:41,Z,2,z,1
29/05/2024,12:10:42,Z,2,z,1
29/05/2024,12:10:42,Z,2,z,3
29/05/2024,12:10:43,Z,2,z,4
29/05/2024,12:10:43,Z,2,z,2
29/05/2024,12:10:44,Z,2,z,3
29/05/2024,12:10:44,Z,2,z,3
29/05/2024,12:10:45,Z,2,z,0
29/05/2024,12:10:45,Z,2,z,2
29/05/2024,12:10:46,Z,2,z,3
29/05/2024,12:10:46,Z,2,z,2
29/05/2024,12:10:47,Z,2,z,4
29/05/2024,12:10:47,Z,2,z,5
29/05/2024,12:10:48,Z,2,z,4
29/05/2024,12:10:48,Z,2,z,0
29/05/2024,12:10:49,Z,2,z,0
29/05/2024,12:10:49,Z,2,z,2
29/05/2024,12:10:50,Z,2,z,2
29/05/2024,12:10:50,Z,2,z,3
29/05/2024,12:10:51,Z,2,z,3
29/05/2024,12:10:51,Z,2,z,1
29/05/2024,12:10:52,Z,2,z,0
29/05/2024,12:10:52,Z,2,z,3
29/05/2024,12:10:53,Z,2,z,4
29/05/2024,12:10:53,Z,2,z,3
29/05/2024,12:10:54,Z,2,z,3
29/05/2024,12:10:54,Z,2,z,3
29/05/2024,12:10:55,Z,2,z,3
29/05/2024,12:10:55,Z,2,z,3
29/05/2024,12:10:56,Z,2,z,3
29/05/2024,12:10:56,Z,3,z,4
29/05/2024,12:10:57,Z,3,z,2
29/05/2024,12:10:57,Z,3,z,3
29/05/2024,12:10:58,Z,3,z,4
29/05/2024,12:10:58,Z,3,z,2
29/05/2024,12:10:59,Z,2,z,1
29/05/2024,12:10:59,Z,2,z,1
29/05/2024,12:11:00,Z,2,z,1
29/05/2024,12:11:00,Z,2,z,2
29/05/2024,12:11:01,Z,2,z,3
29/05/2024,12:11:01,Z,2,z,2
29/05/2024,12:11:02,Z,2,z,2
29/05/2024,12:11:02,Z,2,z,4
29/05/2024,12:11:03,Z,2,z,4
29/05/2024,12:11:03,Z,3,z,3
29/05/2024,12:11:04,Z,2,z,2
29/05/2024,12:11:04,Z,2,z,1
29/05/2024,12:11:05,Z,2,z,3
29/05/2024,12:11:05,Z,3,z,4
29/05/2024,12:11:06,Z,3,z,3
29/05/2024,12:11:06,Z,2,z,1
29/05/2024,12:11:07,Z,2,z,2
29/05/2024,12:11:07,Z,2,z,3
29/05/2024,12:11:08,Z,2,z,3
29/05/2024,12:11:08,Z,2,z,1
29/05/2024,12:11:09,Z,2,z,2
29/05/2024,12:11:09,Z,2,z,3
29/05/2024,12:11:10,Z,2,z,0
29/05/2024,12:11:10,Z,2,z,0
29/05/2024,12:11:11,Z,2,z,0
29/05/2024,12:11:11,Z,2,z,1
29/05/2024,12:11:12,Z,2,z,3
29/05/2024,12:11:12,Z,2,z,3
29/05/2024,12:11:13,Z,2,z,2
29/05/2024,12:11:13,Z,2,z,1
29/05/2024,12:11:14,Z,2,z,0
29/05/2024,12:11:14,Z,2,z,0
29/05/2024,12:11:15,Z,2,z,4
29/05/2024,12:11:15,Z,2,z,4
29/05/2024,12:11:16,Z,2,z,3
29/05/2024,12:11:16,Z,2,z,4
29/05/2024,12:11:17,Z,2,z,3
29/05/2024,12:11:17,Z,2,z,2
29/05/2024,12:11:18,Z,2,z,3
29/05/2024,12:11:18,Z,2,z,3
29/05/2024,12:11:19,Z,2,z,3
29/05/2024,12:11:19,Z,2,z,4
29/05/2024,12:11:19,Z,2,z,2
29/05/2024,12:11:20,Z,2,z,0
29/05/2024,12:11:20,Z,2,z,0
29/05/2024,12:11:21,Z,2,z,1
29/05/2024,12:11:21,Z,2,z,1
29/05/2024,12:11:22,Z,2,z,2
29/05/2024,12:11:22,Z,2,z,1
29/05/2024,12:11:23,Z,2,z,0
29/05/2024,12:11:23,Z,2,z,0
29/05/2024,12:11:24,Z,2,z,4
29/05/2024,12:11:24,Z,2,z,3
29/05/2024,12:11:25,Z,2,z,3
29/05/2024,12:11:25,Z,2,z,2
29/05/2024,12:11:26,Z,2,z,0
29/05/2024,12:11:26,Z,2,z,0
29/05/2024,12:11:27,Z,2,z,2
29/05/2024,12:11:27,Z,2,z,4
29/05/2024,12:11:28,Z,2,z,4
29/05/2024,12:11:28,Z,2,z,2
29/05/2024,12:11:29,Z,2,z,0
29/05/2024,12:11:29,Z,2,z,0
29/05/2024,12:11:30,Z,2,z,1
29/05/2024,12:11:30,Z,2,z,3
29/05/2024,12:11:31,Z,2,z,3
29/05/2024,12:11:31,Z,2,z,4
29/05/2024,12:11:32,Z,2,z,2
29/05/2024,12:11:32,Z,2,z,0
29/05/2024,12:11:33,Z,2,z,1
29/05/2024,12:11:33,Z,2,z,3
29/05/2024,12:11:34,Z,2,z,5
29/05/2024,12:11:34,Z,2,z,5
29/05/2024,12:11:35,Z,2,z,3
29/05/2024,12:11:35,Z,2,z,2
29/05/2024,12:11:36,Z,2,z,2
29/05/2024,12:11:36,Z,2,z,1
29/05/2024,12:11:37,Z,2,z,1
29/05/2024,12:11:37,Z,2,z,2
29/05/2024,12:11:38,Z,2,z,3
29/05/2024,12:11:38,Z,2,z,4
29/05/2024,12:11:39,Z,2,z,2
29/05/2024,12:11:39,Z,2,z,0
29/05/2024,12:11:40,Z,2,z,2
29/05/2024,12:11:40,Z,2,z,3
29/05/2024,12:11:41,Z,2,z,3
29/05/2024,12:11:41,Z,2,z,3
29/05/2024,12:11:42,Z,2,z,2
29/05/2024,12:11:42,Z,2,z,3
29/05/2024,12:11:43,Z,2,z,2
29/05/2024,12:11:43,Z,2,z,0
29/05/2024,12:11:44,Z,2,z,0
29/05/2024,12:11:44,Z,2,z,1
29/05/2024,12:11:45,Z,2,z,2
29/05/2024,12:11:45,Z,2,z,0
29/05/2024,12:11:46,Z,2,z,0
29/05/2024,12:11:46,Z,1,z,0
29/05/2024,12:11:47,Z,1,z,1
29/05/2024,12:11:47,Z,1,z,3
29/05/2024,12:11:48,Z,2,z,2
29/05/2024,12:11:48,Z,1,z,1
29/05/2024,12:11:49,Z,1,z,1
29/05/2024,12:11:49,Z,2,z,2
29/05/2024,12:11:50,Z,2,z,2
29/05/2024,12:11:50,Z,2,z,3
29/05/2024,12:11:51,Z,2,z,2
29/05/2024,12:11:51,Z,2,z,2
29/05/2024,12:11:52,Z,2,z,2
29/05/2024,12:11:52,Z,2,z,3
29/05/2024,12:11:53,Z,2,z,2
29/05/2024,12:11:53,Z,2,z,0
29/05/2024,12:11:54,Z,2,z,0
29/05/2024,12:11:54,Z,2,z,3
29/05/2024,12:11:55,Z,2,z,4
29/05/2024,12:11:55,Z,2,z,3
29/05/2024,12:11:56,Z,2,z,2
29/05/2024,12:11:56,Z,2,z,1
29/05/2024,12:11:57,Z,2,z,1
29/05/2024,12:11:57,Z,2,z,0
29/05/2024,12:11:58,Z,2,z,3
29/05/2024,12:11:58,Z,2,z,3
29/05/2024,12:11:59,Z,2,z,2
29/05/2024,12:11:59,Z,2,z,3
29/05/2024,12:12:00,Z,2,z,2
29/05/2024,12:12:00,Z,2,z,0
29/05/2024,12:12:01,Z,2,z,2
29/05/2024,12:12:01,Z,2,z,2
29/05/2024,12:12:02,Z,2,z,3
29/05/2024,12:12:02,Z,2,z,4
29/05/2024,12:12:03,Z,2,z,3
29/05/2024,12:12:03,Z,2,z,2
29/05/2024,12:12:04,Z,2,z,2
29/05/2024,12:12:04,Z,2,z,4
29/05/2024,12:12:05,Z,2,z,3
29/05/2024,12:12:05,Z,2,z,3
29/05/2024,12:12:06,Z,2,z,1
29/05/2024,12:12:06,Z,2,z,0
29/05/2024,12:12:07,Z,2,z,3
29/05/2024,12:12:07,Z,2,z,1
29/05/2024,12:12:08,Z,2,z,2
29/05/2024,12:12:08,Z,2,z,3
29/05/2024,12:12:09,Z,2,z,1
29/05/2024,12:12:09,Z,2,z,3
29/05/2024,12:12:10,Z,2,z,4
29/05/2024,12:12:10,Z,2,z,1
29/05/2024,12:12:11,Z,2,z,1
29/05/2024,12:12:11,Z,2,z,3
29/05/2024,12:12:12,Z,2,z,1
29/05/2024,12:12:12,Z,2,z,0
29/05/2024,12:12:13,Z,2,z,0
29/05/2024,12:12:13,Z,2,z,0
29/05/2024,12:12:14,Z,2,z,3
29/05/2024,12:12:14,Z,2,z,3
29/05/2024,12:12:15,Z,2,z,2
29/05/2024,12:12:15,Z,2,z,2
29/05/2024,12:12:16,Z,2,z,1
29/05/2024,12:12:16,Z,2,z,2
29/05/2024,12:12:17,Z,2,z,5
29/05/2024,12:12:17,Z,2,z,5
29/05/2024,12:12:18,Z,2,z,3
