Date,Hour,Media,Media value concentration,Value,Concentration
23/05/2024,12:16:32,Z,3,z,3
23/05/2024,12:16:33,Z,3,z,3
23/05/2024,12:16:33,Z,3,z,3
23/05/2024,12:16:34,Z,3,z,3
23/05/2024,12:16:34,Z,3,z,4
23/05/2024,12:16:35,Z,3,z,2
23/05/2024,12:16:35,Z,3,z,2
23/05/2024,12:16:36,Z,3,z,3
23/05/2024,12:16:36,Z,3,z,3
23/05/2024,12:16:37,Z,3,z,2
23/05/2024,12:16:37,Z,3,z,2
23/05/2024,12:16:38,Z,3,z,2
23/05/2024,12:16:38,Z,3,z,2
23/05/2024,12:16:39,Z,3,z,2
23/05/2024,12:16:39,Z,3,z,3
23/05/2024,12:16:40,Z,3,z,4
23/05/2024,12:16:40,Z,3,z,3
23/05/2024,12:16:41,Z,3,z,2
23/05/2024,12:16:41,Z,3,z,2
23/05/2024,12:16:42,Z,3,z,4
23/05/2024,12:16:42,Z,3,z,4
23/05/2024,12:16:43,Z,3,z,3
23/05/2024,12:16:43,Z,3,z,4
23/05/2024,12:16:44,Z,3,z,4
23/05/2024,12:16:44,Z,3,z,3
23/05/2024,12:16:45,Z,3,z,3
23/05/2024,12:16:45,Z,3,z,3
23/05/2024,12:16:46,Z,3,z,3
23/05/2024,12:16:46,Z,3,z,3
23/05/2024,12:16:47,Z,3,z,1
23/05/2024,12:16:47,Z,3,z,2
23/05/2024,12:16:48,Z,3,z,3
23/05/2024,12:16:48,Z,3,z,3
23/05/2024,12:16:49,Z,3,z,3
23/05/2024,12:16:49,Z,3,z,3
23/05/2024,12:16:50,Z,3,z,3
23/05/2024,12:16:50,Z,3,z,2
23/05/2024,12:16:51,Z,3,z,2
23/05/2024,12:16:51,Z,3,z,2
23/05/2024,12:16:52,Z,3,z,2
23/05/2024,12:16:52,Z,3,z,3
23/05/2024,12:16:53,Z,3,z,4
23/05/2024,12:16:53,Z,3,z,4
23/05/2024,12:16:54,Z,3,z,2
23/05/2024,12:16:54,Z,3,z,2
23/05/2024,12:16:55,Z,3,z,2
23/05/2024,12:16:55,Z,3,z,1
23/05/2024,12:16:56,Z,3,z,1
23/05/2024,12:16:56,Z,3,z,2
23/05/2024,12:16:57,Z,3,z,3
23/05/2024,12:16:57,Z,3,z,4
23/05/2024,12:16:58,Z,3,z,4
23/05/2024,12:16:58,Z,3,z,3
23/05/2024,12:16:59,Z,3,z,2
23/05/2024,12:16:59,Z,3,z,2
23/05/2024,12:17:00,Z,3,z,2
23/05/2024,12:17:00,Z,3,z,4
23/05/2024,12:17:01,Z,3,z,4
23/05/2024,12:17:01,Z,3,z,2
23/05/2024,12:17:02,Z,3,z,2
23/05/2024,12:17:02,Z,3,z,3
23/05/2024,12:17:03,Z,3,z,3
23/05/2024,12:17:03,Z,3,z,3
23/05/2024,12:17:04,Z,3,z,2
23/05/2024,12:17:04,Z,3,z,3
23/05/2024,12:17:05,Z,3,z,4
23/05/2024,12:17:05,Z,3,z,3
23/05/2024,12:17:05,Z,3,z,3
23/05/2024,12:17:06,Z,3,z,2
23/05/2024,12:17:06,Z,3,z,3
23/05/2024,12:17:07,Z,3,z,4
23/05/2024,12:17:07,Z,3,z,5
23/05/2024,12:17:08,Z,3,z,3
23/05/2024,12:17:08,Z,3,z,2
23/05/2024,12:17:09,Z,3,z,2
23/05/2024,12:17:09,Z,3,z,3
23/05/2024,12:17:10,Z,3,z,3
23/05/2024,12:17:10,Z,3,z,2
23/05/2024,12:17:11,Z,3,z,2
23/05/2024,12:17:11,Z,3,z,2
23/05/2024,12:17:12,Z,3,z,3
23/05/2024,12:17:12,Z,3,z,4
23/05/2024,12:17:13,Z,3,z,4
23/05/2024,12:17:13,Z,3,z,2
23/05/2024,12:17:14,Z,3,z,2
23/05/2024,12:17:14,Z,3,z,2
23/05/2024,12:17:15,Z,3,z,1
23/05/2024,12:17:15,Z,3,z,0
23/05/2024,12:17:16,Z,2,z,1
23/05/2024,12:17:16,Z,2,z,1
23/05/2024,12:17:17,Z,2,z,1
23/05/2024,12:17:17,Z,2,z,3
23/05/2024,12:17:18,Z,2,z,3
23/05/2024,12:17:18,Z,2,z,3
23/05/2024,12:17:19,Z,2,z,3
23/05/2024,12:17:19,Z,3,z,3
23/05/2024,12:17:20,Z,3,z,3
23/05/2024,12:17:20,Z,3,z,2
23/05/2024,12:17:21,Z,3,z,3
23/05/2024,12:17:21,Z,3,z,4
23/05/2024,12:17:22,Z,3,z,3
23/05/2024,12:17:22,Z,3,z,3
23/05/2024,12:17:23,Z,3,z,1
23/05/2024,12:17:23,Z,2,z,1
23/05/2024,12:17:24,Z,2,z,2
23/05/2024,12:17:24,Z,2,z,2
23/05/2024,12:17:25,Z,2,z,1
23/05/2024,12:17:25,Z,2,z,2
23/05/2024,12:17:26,Z,2,z,4
23/05/2024,12:17:26,Z,3,z,4
23/05/2024,12:17:27,Z,3,z,3
23/05/2024,12:17:27,Z,3,z,2
23/05/2024,12:17:28,Z,3,z,2
23/05/2024,12:17:28,Z,3,z,3
23/05/2024,12:17:29,Z,3,z,3
23/05/2024,12:17:29,Z,3,z,2
23/05/2024,12:17:30,Z,3,z,2
23/05/2024,12:17:30,Z,3,z,1
23/05/2024,12:17:31,Z,2,z,1
23/05/2024,12:17:31,Z,2,z,2
23/05/2024,12:17:32,Z,2,z,3
23/05/2024,12:17:32,Z,2,z,2
23/05/2024,12:17:33,Z,2,z,3
23/05/2024,12:17:33,Z,3,z,4
23/05/2024,12:17:34,Z,3,z,4
23/05/2024,12:17:34,Z,3,z,3
23/05/2024,12:17:35,Z,3,z,2
23/05/2024,12:17:35,Z,3,z,3
23/05/2024,12:17:36,Z,3,z,4
23/05/2024,12:17:36,Z,3,z,3
23/05/2024,12:17:37,Z,3,z,3
23/05/2024,12:17:37,Z,3,z,3
23/05/2024,12:17:38,Z,3,z,2
23/05/2024,12:17:38,Z,2,z,0
23/05/2024,12:17:39,Z,2,z,1
23/05/2024,12:17:39,Z,2,z,3
23/05/2024,12:17:40,Z,2,z,3
23/05/2024,12:17:40,Z,3,z,3
23/05/2024,12:17:41,Z,2,z,2
23/05/2024,12:17:41,Z,2,z,2
23/05/2024,12:17:42,Z,2,z,1
23/05/2024,12:17:42,Z,2,z,2
23/05/2024,12:17:43,Z,2,z,3
23/05/2024,12:17:43,Z,2,z,4
23/05/2024,12:17:44,Z,3,z,3
23/05/2024,12:17:44,Z,2,z,1
23/05/2024,12:17:45,Z,2,z,3
23/05/2024,12:17:45,Z,2,z,2
23/05/2024,12:17:46,Z,2,z,2
23/05/2024,12:17:46,Z,2,z,2
23/05/2024,12:17:47,Z,2,z,1
23/05/2024,12:17:47,Z,2,z,1
23/05/2024,12:17:48,Z,2,z,2
23/05/2024,12:17:48,Z,2,z,3
23/05/2024,12:17:49,Z,2,z,1
23/05/2024,12:17:49,Z,2,z,2
23/05/2024,12:17:50,Z,2,z,2
23/05/2024,12:17:50,Z,2,z,2
23/05/2024,12:17:51,Z,2,z,2
23/05/2024,12:17:51,Z,2,z,2
23/05/2024,12:17:52,Z,2,z,2
23/05/2024,12:17:52,Z,2,z,2
23/05/2024,12:17:53,Z,2,z,1
23/05/2024,12:17:53,Z,2,z,3
23/05/2024,12:17:54,Z,2,z,2
23/05/2024,12:17:54,Z,2,z,1
23/05/2024,12:17:55,Z,2,z,1
23/05/2024,12:17:55,Z,2,z,2
23/05/2024,12:17:56,Z,2,z,1
23/05/2024,12:17:56,Z,2,z,1
23/05/2024,12:17:57,Z,2,z,3
23/05/2024,12:17:57,Z,2,z,2
23/05/2024,12:17:58,Z,2,z,2
23/05/2024,12:17:58,Z,2,z,3
23/05/2024,12:17:59,Z,2,z,3
23/05/2024,12:17:59,Z,2,z,2
23/05/2024,12:18:00,Z,2,z,2
23/05/2024,12:18:00,Z,2,z,2
23/05/2024,12:18:01,Z,2,z,2
23/05/2024,12:18:01,Z,2,z,2
23/05/2024,12:18:02,Z,2,z,3
23/05/2024,12:18:02,Z,2,z,3
23/05/2024,12:18:03,Z,2,z,2
23/05/2024,12:18:03,Z,2,z,3
23/05/2024,12:18:04,Z,2,z,3
23/05/2024,12:18:04,Z,2,z,2
23/05/2024,12:18:05,Z,2,z,1
23/05/2024,12:18:05,Z,2,z,1
23/05/2024,12:18:06,Z,2,z,2
23/05/2024,12:18:06,Z,2,z,3
23/05/2024,12:18:07,Z,2,z,2
23/05/2024,12:18:07,Z,2,z,2
23/05/2024,12:18:08,Z,2,z,1
23/05/2024,12:18:08,Z,2,z,0
23/05/2024,12:18:09,Z,2,z,1
23/05/2024,12:18:09,Z,2,z,1
23/05/2024,12:18:10,Z,2,z,0
23/05/2024,12:18:10,Z,2,z,1
23/05/2024,12:18:11,Z,2,z,1
23/05/2024,12:18:11,Z,2,z,2
23/05/2024,12:18:12,Z,2,z,3
23/05/2024,12:18:12,Z,2,z,3
23/05/2024,12:18:13,Z,2,z,2
23/05/2024,12:18:13,Z,2,z,2
23/05/2024,12:18:14,Z,2,z,2
23/05/2024,12:18:14,Z,2,z,2
23/05/2024,12:18:15,Z,2,z,2
23/05/2024,12:18:15,Z,2,z,2
23/05/2024,12:18:16,Z,2,z,1
23/05/2024,12:18:16,Z,2,z,1
23/05/2024,12:18:17,Z,2,z,2
23/05/2024,12:18:17,Z,2,z,2
23/05/2024,12:18:18,Z,2,z,3
23/05/2024,12:18:18,Z,2,z,3
23/05/2024,12:18:19,Z,2,z,2
23/05/2024,12:18:19,Z,2,z,2
23/05/2024,12:18:20,Z,2,z,3
23/05/2024,12:18:20,Z,2,z,2
23/05/2024,12:18:21,Z,2,z,1
23/05/2024,12:18:21,Z,2,z,2
23/05/2024,12:18:22,Z,2,z,3
23/05/2024,12:18:22,Z,2,z,1
23/05/2024,12:18:23,Z,2,z,1
23/05/2024,12:18:23,Z,2,z,3
23/05/2024,12:18:24,Z,2,z,2
23/05/2024,12:18:24,Z,2,z,3
23/05/2024,12:18:24,Z,2,z,4
23/05/2024,12:18:25,Z,2,z,4
23/05/2024,12:18:25,Z,2,z,2
23/05/2024,12:18:26,Z,2,z,1
23/05/2024,12:18:26,Z,2,z,2
23/05/2024,12:18:27,Z,2,z,3
23/05/2024,12:18:27,Z,2,z,3
23/05/2024,12:18:28,Z,2,z,3
23/05/2024,12:18:28,Z,2,z,2
23/05/2024,12:18:29,Z,2,z,2
23/05/2024,12:18:29,Z,2,z,2
23/05/2024,12:18:30,Z,2,z,3
23/05/2024,12:18:30,Z,2,z,3
23/05/2024,12:18:31,Z,2,z,2
23/05/2024,12:18:31,Z,2,z,2
23/05/2024,12:18:32,Z,2,z,2
23/05/2024,12:18:32,Z,2,z,2
23/05/2024,12:18:33,Z,2,z,4
23/05/2024,12:18:33,Z,3,z,4
23/05/2024,12:18:34,Z,2,z,2
23/05/2024,12:18:34,Z,2,z,1
23/05/2024,12:18:35,Z,2,z,3
23/05/2024,12:18:35,Z,2,z,3
23/05/2024,12:18:36,Z,3,z,3
23/05/2024,12:18:36,Z,3,z,3
23/05/2024,12:18:37,Z,3,z,3
23/05/2024,12:18:37,Z,3,z,2
23/05/2024,12:18:38,Z,3,z,2
23/05/2024,12:18:38,Z,2,z,2
23/05/2024,12:18:39,Z,2,z,2
23/05/2024,12:18:39,Z,2,z,2
23/05/2024,12:18:40,Z,2,z,2
23/05/2024,12:18:40,Z,2,z,2
23/05/2024,12:18:41,Z,2,z,3
23/05/2024,12:18:41,Z,2,z,3
23/05/2024,12:18:42,Z,2,z,2
23/05/2024,12:18:42,Z,2,z,2
23/05/2024,12:18:43,Z,2,z,3
23/05/2024,12:18:43,Z,2,z,3
23/05/2024,12:18:44,Z,2,z,3
23/05/2024,12:18:44,Z,3,z,3
23/05/2024,12:18:45,Z,2,z,2
23/05/2024,12:18:45,Z,2,z,2
23/05/2024,12:18:46,Z,2,z,1
23/05/2024,12:18:46,Z,2,z,1
23/05/2024,12:18:47,Z,2,z,1
23/05/2024,12:18:47,Z,2,z,1
23/05/2024,12:18:48,Z,2,z,1
23/05/2024,12:18:48,Z,2,z,2
23/05/2024,12:18:49,Z,2,z,1
23/05/2024,12:18:49,Z,2,z,2
23/05/2024,12:18:50,Z,2,z,3
23/05/2024,12:18:50,Z,2,z,1
23/05/2024,12:18:51,Z,2,z,2
23/05/2024,12:18:51,Z,2,z,3
23/05/2024,12:18:52,Z,2,z,2
23/05/2024,12:18:52,Z,2,z,3
23/05/2024,12:18:53,Z,2,z,3
23/05/2024,12:18:53,Z,2,z,1
23/05/2024,12:18:54,Z,2,z,1
23/05/2024,12:18:54,Z,2,z,2
23/05/2024,12:18:55,Z,2,z,3
23/05/2024,12:18:55,Z,2,z,3
23/05/2024,12:18:56,Z,2,z,2
23/05/2024,12:18:56,Z,2,z,3
23/05/2024,12:18:57,Z,2,z,3
23/05/2024,12:18:57,Z,2,z,2
23/05/2024,12:18:58,Z,2,z,2
23/05/2024,12:18:58,Z,2,z,3
23/05/2024,12:18:59,Z,2,z,4
23/05/2024,12:18:59,Z,2,z,4
23/05/2024,12:19:00,Z,3,z,4
23/05/2024,12:19:00,Z,3,z,2
23/05/2024,12:19:01,Z,2,z,1
23/05/2024,12:19:01,Z,2,z,2
23/05/2024,12:19:02,Z,2,z,3
23/05/2024,12:19:02,Z,2,z,3
23/05/2024,12:19:03,Z,3,z,4
23/05/2024,12:19:03,Z,3,z,3
23/05/2024,12:19:04,Z,3,z,2
23/05/2024,12:19:04,Z,3,z,2
23/05/2024,12:19:05,Z,3,z,2
23/05/2024,12:19:05,Z,2,z,2
23/05/2024,12:19:06,Z,2,z,1
