Date,Hour,Media,Media value concentration,Value,Concentration
30/05/2024,11:47:22,Z,3,z,2
30/05/2024,11:47:23,Z,3,z,2
30/05/2024,11:47:23,Z,3,z,4
30/05/2024,11:47:24,Z,3,z,2
30/05/2024,11:47:24,Z,3,z,2
30/05/2024,11:47:25,Z,3,z,4
30/05/2024,11:47:25,Z,3,z,3
30/05/2024,11:47:26,Z,3,z,3
30/05/2024,11:47:26,Z,3,z,3
30/05/2024,11:47:27,Z,3,z,4
30/05/2024,11:47:27,Z,3,z,4
30/05/2024,11:47:28,Z,3,z,4
30/05/2024,11:47:28,Z,3,z,4
30/05/2024,11:47:29,Z,3,z,3
30/05/2024,11:47:29,Z,3,z,3
30/05/2024,11:47:30,Z,3,z,4
30/05/2024,11:47:30,Z,3,z,4
30/05/2024,11:47:31,Z,3,z,2
30/05/2024,11:47:31,Z,3,z,2
30/05/2024,11:47:32,Z,3,z,2
30/05/2024,11:47:32,Z,3,z,2
30/05/2024,11:47:33,Z,3,z,1
30/05/2024,11:47:33,Z,3,z,2
30/05/2024,11:47:34,Z,3,z,3
30/05/2024,11:47:34,Z,3,z,3
30/05/2024,11:47:35,Z,3,z,3
30/05/2024,11:47:35,Z,3,z,5
30/05/2024,11:47:36,Z,3,z,5
30/05/2024,11:47:36,Z,3,z,3
30/05/2024,11:47:36,Z,3,z,1
30/05/2024,11:47:37,Z,3,z,3
30/05/2024,11:47:37,Z,3,z,4
30/05/2024,11:47:38,Z,3,z,3
30/05/2024,11:47:38,Z,3,z,4
30/05/2024,11:47:39,Z,3,z,3
30/05/2024,11:47:39,Z,3,z,2
30/05/2024,11:47:40,Z,3,z,2
30/05/2024,11:47:40,Z,3,z,2
30/05/2024,11:47:41,Z,3,z,4
30/05/2024,11:47:41,Z,3,z,3
30/05/2024,11:47:42,Z,3,z,1
30/05/2024,11:47:42,Z,3,z,2
30/05/2024,11:47:43,Z,3,z,2
30/05/2024,11:47:43,Z,3,z,2
30/05/2024,11:47:44,Z,3,z,4
30/05/2024,11:47:44,Z,3,z,4
30/05/2024,11:47:45,Z,3,z,3
30/05/2024,11:47:45,Z,3,z,2
30/05/2024,11:47:46,Z,3,z,3
30/05/2024,11:47:46,Z,3,z,4
30/05/2024,11:47:47,Z,3,z,3
30/05/2024,11:47:47,Z,3,z,3
30/05/2024,11:47:48,Z,3,z,4
30/05/2024,11:47:48,Z,3,z,2
30/05/2024,11:47:49,Z,3,z,1
30/05/2024,11:47:49,Z,3,z,2
30/05/2024,11:47:50,Z,3,z,1
30/05/2024,11:47:50,Z,3,z,1
30/05/2024,11:47:51,Z,3,z,4
30/05/2024,11:47:51,Z,3,z,4
30/05/2024,11:47:52,Z,3,z,3
30/05/2024,11:47:52,Z,3,z,3
30/05/2024,11:47:53,Z,3,z,4
30/05/2024,11:47:53,Z,3,z,2
30/05/2024,11:47:54,Z,3,z,1
30/05/2024,11:47:54,Z,3,z,3
30/05/2024,11:47:55,Z,3,z,3
30/05/2024,11:47:55,Z,3,z,4
30/05/2024,11:47:56,Z,3,z,4
30/05/2024,11:47:56,Z,3,z,3
30/05/2024,11:47:57,Z,3,z,1
30/05/2024,11:47:57,Z,3,z,0
30/05/2024,11:47:58,Z,3,z,2
30/05/2024,11:47:58,Z,3,z,5
30/05/2024,11:47:59,Z,3,z,4
30/05/2024,11:47:59,Z,3,z,2
30/05/2024,11:48:00,Z,3,z,1
30/05/2024,11:48:00,Z,3,z,3
30/05/2024,11:48:01,Z,3,z,4
30/05/2024,11:48:01,Z,3,z,5
30/05/2024,11:48:02,Z,3,z,4
30/05/2024,11:48:02,Z,3,z,2
30/05/2024,11:48:03,Z,3,z,2
30/05/2024,11:48:03,Z,3,z,5
30/05/2024,11:48:04,Z,3,z,4
30/05/2024,11:48:04,Z,3,z,1
30/05/2024,11:48:05,Z,3,z,1
30/05/2024,11:48:05,Z,3,z,2
30/05/2024,11:48:06,Z,3,z,4
30/05/2024,11:48:06,Z,3,z,2
30/05/2024,11:48:07,Z,3,z,2
30/05/2024,11:48:07,Z,3,z,2
30/05/2024,11:48:08,Z,3,z,2
30/05/2024,11:48:08,Z,3,z,5
30/05/2024,11:48:09,Z,3,z,5
30/05/2024,11:48:09,Z,3,z,2
30/05/2024,11:48:10,Z,3,z,1
30/05/2024,11:48:10,Z,3,z,2
30/05/2024,11:48:11,Z,3,z,2
30/05/2024,11:48:11,Z,3,z,3
30/05/2024,11:48:12,Z,3,z,3
30/05/2024,11:48:12,Z,3,z,1
30/05/2024,11:48:13,Z,3,z,2
30/05/2024,11:48:13,Z,3,z,4
30/05/2024,11:48:14,Z,3,z,4
30/05/2024,11:48:14,Z,3,z,5
30/05/2024,11:48:15,Z,3,z,3
30/05/2024,11:48:15,Z,3,z,0
30/05/2024,11:48:16,Z,3,z,4
30/05/2024,11:48:16,Z,3,z,4
30/05/2024,11:48:17,Z,3,z,2
30/05/2024,11:48:17,Z,3,z,5
30/05/2024,11:48:18,Z,3,z,3
30/05/2024,11:48:18,Z,3,z,0
30/05/2024,11:48:19,Z,3,z,3
30/05/2024,11:48:19,Z,3,z,2
30/05/2024,11:48:20,Z,3,z,1
30/05/2024,11:48:20,Z,3,z,2
30/05/2024,11:48:21,Z,3,z,3
30/05/2024,11:48:21,Z,3,z,2
30/05/2024,11:48:22,Z,3,z,3
30/05/2024,11:48:22,Z,3,z,4
30/05/2024,11:48:23,Z,3,z,3
30/05/2024,11:48:23,Z,3,z,2
30/05/2024,11:48:24,Z,3,z,1
30/05/2024,11:48:24,Z,3,z,1
30/05/2024,11:48:25,Z,2,z,1
30/05/2024,11:48:25,Z,2,z,2
30/05/2024,11:48:26,Z,3,z,3
30/05/2024,11:48:26,Z,2,z,2
30/05/2024,11:48:27,Z,2,z,2
30/05/2024,11:48:27,Z,2,z,2
30/05/2024,11:48:28,Z,2,z,1
30/05/2024,11:48:28,Z,2,z,2
30/05/2024,11:48:29,Z,2,z,3
30/05/2024,11:48:29,Z,3,z,4
30/05/2024,11:48:30,Z,3,z,5
30/05/2024,11:48:30,Z,3,z,4
30/05/2024,11:48:31,Z,3,z,3
30/05/2024,11:48:31,Z,3,z,0
30/05/2024,11:48:32,Z,3,z,1
30/05/2024,11:48:32,Z,3,z,4
30/05/2024,11:48:33,Z,3,z,4
30/05/2024,11:48:33,Z,3,z,2
30/05/2024,11:48:34,Z,3,z,3
30/05/2024,11:48:34,Z,3,z,4
30/05/2024,11:48:35,Z,3,z,2
30/05/2024,11:48:35,Z,2,z,0
30/05/2024,11:48:36,Z,2,z,0
30/05/2024,11:48:36,Z,2,z,3
