Date,Hour,Media,Media value concentration,Value,Concentration
27/05/2024,12:43:32,Z,6,z,6
27/05/2024,12:43:32,Z,6,z,6
27/05/2024,12:43:33,Z,6,z,6
27/05/2024,12:43:33,Z,6,z,6
27/05/2024,12:43:34,Z,6,z,6
27/05/2024,12:43:34,Z,6,z,6
27/05/2024,12:43:35,Z,6,z,6
27/05/2024,12:43:35,Z,6,z,6
27/05/2024,12:43:36,Z,6,z,6
27/05/2024,12:43:36,Z,6,z,5
27/05/2024,12:43:37,Z,6,z,6
27/05/2024,12:43:37,Z,6,z,7
27/05/2024,12:43:38,Z,6,z,7
27/05/2024,12:43:38,Z,6,z,6
27/05/2024,12:43:39,Z,6,z,6
27/05/2024,12:43:39,Z,6,z,6
27/05/2024,12:43:40,Z,6,z,6
27/05/2024,12:43:40,Z,6,z,6
27/05/2024,12:43:41,Z,6,z,6
27/05/2024,12:43:41,Z,6,z,6
27/05/2024,12:43:42,Z,6,z,6
27/05/2024,12:43:42,Z,6,z,6
27/05/2024,12:43:43,Z,6,z,6
27/05/2024,12:43:43,Z,6,z,6
27/05/2024,12:43:44,Z,6,z,6
27/05/2024,12:43:44,Z,6,z,5
27/05/2024,12:43:45,Z,6,z,6
27/05/2024,12:43:45,Z,6,z,6
27/05/2024,12:43:46,Z,6,z,6
27/05/2024,12:43:46,Z,6,z,7
27/05/2024,12:43:47,Z,6,z,6
27/05/2024,12:43:47,Z,6,z,5
27/05/2024,12:43:48,Z,6,z,5
27/05/2024,12:43:48,Z,6,z,5
27/05/2024,12:43:49,Z,6,z,6
27/05/2024,12:43:49,Z,6,z,7
27/05/2024,12:43:50,Z,6,z,6
27/05/2024,12:43:50,Z,6,z,5
27/05/2024,12:43:51,Z,6,z,6
27/05/2024,12:43:51,Z,6,z,6
27/05/2024,12:43:52,Z,6,z,6
27/05/2024,12:43:52,Z,6,z,6
27/05/2024,12:43:53,Z,6,z,6
27/05/2024,12:43:53,Z,6,z,5
27/05/2024,12:43:54,Z,6,z,6
27/05/2024,12:43:54,Z,6,z,7
27/05/2024,12:43:55,Z,6,z,6
27/05/2024,12:43:55,Z,6,z,6
27/05/2024,12:43:56,Z,6,z,6
27/05/2024,12:43:56,Z,6,z,6
27/05/2024,12:43:57,Z,6,z,6
27/05/2024,12:43:57,Z,6,z,6
27/05/2024,12:43:58,Z,6,z,6
27/05/2024,12:43:58,Z,6,z,6
27/05/2024,12:43:59,Z,6,z,6
27/05/2024,12:43:59,Z,6,z,6
27/05/2024,12:44:00,Z,6,z,5
27/05/2024,12:44:00,Z,6,z,6
27/05/2024,12:44:01,Z,6,z,7
27/05/2024,12:44:01,Z,6,z,7
27/05/2024,12:44:02,Z,6,z,6
27/05/2024,12:44:02,Z,6,z,6
27/05/2024,12:44:03,Z,6,z,6
