Date,Hour,Media,Media value concentration,Value,Concentration
24/05/2024,11:39:10,Z,3,z,3
24/05/2024,11:39:11,Z,3,z,1
24/05/2024,11:39:11,Z,3,z,1
24/05/2024,11:39:12,Z,3,z,2
24/05/2024,11:39:12,Z,3,z,4
24/05/2024,11:39:13,Z,3,z,4
24/05/2024,11:39:13,Z,3,z,3
24/05/2024,11:39:14,Z,3,z,3
24/05/2024,11:39:14,Z,3,z,3
24/05/2024,11:39:15,Z,3,z,3
24/05/2024,11:39:15,Z,3,z,4
24/05/2024,11:39:16,Z,3,z,4
24/05/2024,11:39:16,Z,3,z,5
24/05/2024,11:39:17,Z,4,z,5
24/05/2024,11:39:17,Z,4,z,3
24/05/2024,11:39:18,Z,3,z,2
24/05/2024,11:39:18,Z,3,z,4
24/05/2024,11:39:19,Z,4,z,5
24/05/2024,11:39:19,Z,4,z,4
24/05/2024,11:39:20,Z,4,z,3
24/05/2024,11:39:20,Z,4,z,2
24/05/2024,11:39:21,Z,4,z,4
24/05/2024,11:39:21,Z,4,z,4
24/05/2024,11:39:22,Z,4,z,5
24/05/2024,11:39:22,Z,4,z,5
24/05/2024,11:39:23,Z,4,z,4
24/05/2024,11:39:23,Z,4,z,3
24/05/2024,11:39:24,Z,4,z,1
24/05/2024,11:39:24,Z,4,z,3
24/05/2024,11:39:25,Z,4,z,5
24/05/2024,11:39:25,Z,4,z,5
24/05/2024,11:39:26,Z,4,z,4
24/05/2024,11:39:26,Z,4,z,3
24/05/2024,11:39:27,Z,4,z,2
24/05/2024,11:39:27,Z,4,z,2
24/05/2024,11:39:28,Z,4,z,4
24/05/2024,11:39:28,Z,4,z,4
24/05/2024,11:39:29,Z,4,z,2
24/05/2024,11:39:29,Z,4,z,2
24/05/2024,11:39:30,Z,4,z,3
24/05/2024,11:39:30,Z,4,z,4
24/05/2024,11:39:31,Z,4,z,4
24/05/2024,11:39:31,Z,4,z,3
24/05/2024,11:39:32,Z,3,z,2
24/05/2024,11:39:32,Z,3,z,2
24/05/2024,11:39:33,Z,3,z,3
24/05/2024,11:39:33,Z,3,z,5
24/05/2024,11:39:34,Z,4,z,5
24/05/2024,11:39:34,Z,4,z,5
24/05/2024,11:39:35,Z,4,z,4
24/05/2024,11:39:35,Z,4,z,2
24/05/2024,11:39:36,Z,4,z,2
24/05/2024,11:39:36,Z,4,z,3
24/05/2024,11:39:37,Z,4,z,3
24/05/2024,11:39:37,Z,4,z,4
24/05/2024,11:39:38,Z,4,z,3
24/05/2024,11:39:38,Z,3,z,1
24/05/2024,11:39:39,Z,3,z,4
24/05/2024,11:39:39,Z,4,z,5
24/05/2024,11:39:40,Z,4,z,4
24/05/2024,11:39:40,Z,4,z,3
24/05/2024,11:39:41,Z,4,z,3
24/05/2024,11:39:41,Z,4,z,3
24/05/2024,11:39:42,Z,3,z,2
24/05/2024,11:39:42,Z,3,z,2
24/05/2024,11:39:43,Z,4,z,5
24/05/2024,11:39:43,Z,4,z,5
24/05/2024,11:39:44,Z,4,z,4
24/05/2024,11:39:44,Z,4,z,2
24/05/2024,11:39:45,Z,3,z,2
24/05/2024,11:39:45,Z,3,z,3
24/05/2024,11:39:46,Z,3,z,4
24/05/2024,11:39:46,Z,4,z,4
24/05/2024,11:39:47,Z,4,z,3
24/05/2024,11:39:47,Z,3,z,1
24/05/2024,11:39:48,Z,3,z,3
24/05/2024,11:39:48,Z,3,z,3
24/05/2024,11:39:49,Z,3,z,4
24/05/2024,11:39:49,Z,3,z,4
24/05/2024,11:39:50,Z,4,z,4
24/05/2024,11:39:50,Z,4,z,3
24/05/2024,11:39:51,Z,3,z,2
24/05/2024,11:39:51,Z,3,z,3
24/05/2024,11:39:52,Z,3,z,4
24/05/2024,11:39:52,Z,3,z,3
24/05/2024,11:39:53,Z,4,z,4
24/05/2024,11:39:53,Z,4,z,4
24/05/2024,11:39:54,Z,4,z,3
24/05/2024,11:39:54,Z,3,z,3
24/05/2024,11:39:55,Z,3,z,3
24/05/2024,11:39:55,Z,3,z,3
24/05/2024,11:39:56,Z,3,z,1
24/05/2024,11:39:56,Z,3,z,2
24/05/2024,11:39:57,Z,3,z,4
24/05/2024,11:39:57,Z,3,z,3
24/05/2024,11:39:58,Z,3,z,0
24/05/2024,11:39:58,Z,3,z,2
24/05/2024,11:39:59,Z,3,z,5
24/05/2024,11:39:59,Z,3,z,4
24/05/2024,11:40:00,Z,3,z,4
24/05/2024,11:40:00,Z,3,z,4
24/05/2024,11:40:01,Z,3,z,2
24/05/2024,11:40:01,Z,3,z,1
24/05/2024,11:40:02,Z,3,z,3
24/05/2024,11:40:02,Z,3,z,4
24/05/2024,11:40:03,Z,3,z,4
24/05/2024,11:40:03,Z,3,z,2
24/05/2024,11:40:04,Z,3,z,2
24/05/2024,11:40:04,Z,3,z,4
24/05/2024,11:40:05,Z,3,z,3
24/05/2024,11:40:05,Z,3,z,4
24/05/2024,11:40:06,Z,3,z,4
24/05/2024,11:40:06,Z,3,z,2
24/05/2024,11:40:07,Z,3,z,3
24/05/2024,11:40:07,Z,3,z,3
24/05/2024,11:40:08,Z,3,z,4
24/05/2024,11:40:08,Z,3,z,5
24/05/2024,11:40:09,Z,4,z,5
24/05/2024,11:40:09,Z,4,z,6
24/05/2024,11:40:10,Z,4,z,4
24/05/2024,11:40:10,Z,4,z,2
24/05/2024,11:40:11,Z,4,z,3
24/05/2024,11:40:11,Z,4,z,4
24/05/2024,11:40:12,Z,4,z,4
24/05/2024,11:40:12,Z,4,z,3
24/05/2024,11:40:13,Z,4,z,3
24/05/2024,11:40:13,Z,3,z,1
24/05/2024,11:40:14,Z,3,z,1
24/05/2024,11:40:14,Z,3,z,3
24/05/2024,11:40:15,Z,3,z,4
24/05/2024,11:40:15,Z,3,z,4
24/05/2024,11:40:16,Z,3,z,3
24/05/2024,11:40:16,Z,3,z,3
24/05/2024,11:40:17,Z,3,z,4
24/05/2024,11:40:17,Z,3,z,4
24/05/2024,11:40:18,Z,4,z,4
24/05/2024,11:40:18,Z,4,z,5
24/05/2024,11:40:19,Z,4,z,4
24/05/2024,11:40:19,Z,4,z,2
24/05/2024,11:40:20,Z,3,z,1
24/05/2024,11:40:20,Z,3,z,3
24/05/2024,11:40:21,Z,3,z,3
24/05/2024,11:40:21,Z,3,z,2
24/05/2024,11:40:22,Z,3,z,2
24/05/2024,11:40:22,Z,3,z,3
24/05/2024,11:40:22,Z,3,z,3
24/05/2024,11:40:23,Z,3,z,3
24/05/2024,11:40:23,Z,3,z,4
24/05/2024,11:40:24,Z,3,z,4
24/05/2024,11:40:24,Z,3,z,3
24/05/2024,11:40:25,Z,3,z,3
24/05/2024,11:40:25,Z,3,z,3
24/05/2024,11:40:26,Z,3,z,4
24/05/2024,11:40:26,Z,3,z,3
24/05/2024,11:40:27,Z,3,z,1
24/05/2024,11:40:27,Z,3,z,2
24/05/2024,11:40:28,Z,3,z,2
24/05/2024,11:40:28,Z,3,z,4
24/05/2024,11:40:29,Z,3,z,5
24/05/2024,11:40:29,Z,3,z,4
24/05/2024,11:40:30,Z,3,z,2
24/05/2024,11:40:30,Z,3,z,2
24/05/2024,11:40:31,Z,3,z,1
24/05/2024,11:40:31,Z,3,z,1
24/05/2024,11:40:32,Z,3,z,4
24/05/2024,11:40:32,Z,3,z,5
24/05/2024,11:40:33,Z,3,z,4
24/05/2024,11:40:33,Z,3,z,1
24/05/2024,11:40:34,Z,3,z,0
24/05/2024,11:40:34,Z,3,z,1
24/05/2024,11:40:35,Z,3,z,2
24/05/2024,11:40:35,Z,3,z,3
24/05/2024,11:40:36,Z,3,z,3
24/05/2024,11:40:36,Z,3,z,4
24/05/2024,11:40:37,Z,3,z,3
24/05/2024,11:40:37,Z,3,z,3
24/05/2024,11:40:38,Z,3,z,4
24/05/2024,11:40:38,Z,3,z,4
24/05/2024,11:40:39,Z,3,z,3
24/05/2024,11:40:39,Z,3,z,3
24/05/2024,11:40:40,Z,3,z,3
24/05/2024,11:40:40,Z,3,z,4
24/05/2024,11:40:41,Z,3,z,4
24/05/2024,11:40:41,Z,3,z,3
24/05/2024,11:40:42,Z,3,z,3
24/05/2024,11:40:42,Z,3,z,4
24/05/2024,11:40:43,Z,3,z,2
24/05/2024,11:40:43,Z,3,z,3
24/05/2024,11:40:44,Z,3,z,4
24/05/2024,11:40:44,Z,3,z,4
24/05/2024,11:40:45,Z,3,z,4
24/05/2024,11:40:45,Z,3,z,3
24/05/2024,11:40:46,Z,3,z,2
24/05/2024,11:40:46,Z,3,z,3
24/05/2024,11:40:47,Z,3,z,1
24/05/2024,11:40:47,Z,3,z,2
24/05/2024,11:40:48,Z,3,z,4
24/05/2024,11:40:48,Z,3,z,4
24/05/2024,11:40:49,Z,3,z,3
24/05/2024,11:40:49,Z,3,z,3
24/05/2024,11:40:50,Z,3,z,3
24/05/2024,11:40:50,Z,3,z,4
