Date,Hour,Media,Media value concentration,Value,Concentration 
04/06/2024,11:47:08,Z,1,z,1
04/06/2024,11:47:09,Z,1,z,1
04/06/2024,11:47:09,Z,1,z,2
04/06/2024,11:47:10,Z,1,z,2
04/06/2024,11:47:10,Z,1,z,1
04/06/2024,11:47:11,Z,1,z,2
04/06/2024,11:47:11,Z,1,z,2
04/06/2024,11:47:12,Z,1,z,2
04/06/2024,11:47:12,Z,1,z,2
04/06/2024,11:47:13,Z,1,z,0
04/06/2024,11:47:13,Z,1,z,1
04/06/2024,11:47:14,Z,1,z,0
04/06/2024,11:47:14,Z,1,z,0
04/06/2024,11:47:15,Z,1,z,1
04/06/2024,11:47:15,Z,1,z,1
04/06/2024,11:47:16,Z,1,z,0
04/06/2024,11:47:16,Z,1,z,1
04/06/2024,11:47:17,Z,1,z,2
04/06/2024,11:47:17,Z,1,z,2
04/06/2024,11:47:18,Z,1,z,2
04/06/2024,11:47:18,Z,1,z,2
04/06/2024,11:47:19,Z,1,z,0
04/06/2024,11:47:19,Z,1,z,0
04/06/2024,11:47:20,Z,1,z,2
04/06/2024,11:47:20,Z,1,z,2
04/06/2024,11:47:21,Z,1,z,2
04/06/2024,11:47:21,Z,1,z,1
04/06/2024,11:47:22,Z,1,z,0
04/06/2024,11:47:22,Z,1,z,1
04/06/2024,11:47:23,Z,1,z,2
04/06/2024,11:47:23,Z,1,z,1
04/06/2024,11:47:24,Z,1,z,1
04/06/2024,11:47:24,Z,1,z,2
04/06/2024,11:47:25,Z,1,z,2
04/06/2024,11:47:25,Z,1,z,1
04/06/2024,11:47:26,Z,1,z,1
04/06/2024,11:47:26,Z,1,z,1
04/06/2024,11:47:27,Z,1,z,1
04/06/2024,11:47:27,Z,1,z,1
04/06/2024,11:47:28,Z,1,z,1
04/06/2024,11:47:28,Z,1,z,0
04/06/2024,11:47:29,Z,1,z,0
04/06/2024,11:47:29,Z,1,z,0
04/06/2024,11:47:30,Z,1,z,2
04/06/2024,11:47:30,Z,1,z,1
04/06/2024,11:47:31,Z,1,z,0
04/06/2024,11:47:31,Z,1,z,1
04/06/2024,11:47:32,Z,1,z,0
04/06/2024,11:47:32,Z,1,z,1
04/06/2024,11:47:33,Z,1,z,0
04/06/2024,11:47:33,Z,1,z,0
04/06/2024,11:47:34,Z,1,z,0
04/06/2024,11:47:34,Z,1,z,0
04/06/2024,11:47:35,Z,1,z,2
04/06/2024,11:47:35,Z,1,z,1
04/06/2024,11:47:36,Z,1,z,2
04/06/2024,11:47:36,Z,1,z,2
04/06/2024,11:47:37,Z,1,z,1
04/06/2024,11:47:37,Z,1,z,1
04/06/2024,11:47:38,Z,1,z,1
04/06/2024,11:47:38,Z,1,z,0
04/06/2024,11:47:39,Z,1,z,0
04/06/2024,11:47:39,Z,1,z,1
04/06/2024,11:47:40,Z,1,z,1
04/06/2024,11:47:40,Z,1,z,1
04/06/2024,11:47:41,Z,1,z,0
04/06/2024,11:47:41,Z,1,z,1
04/06/2024,11:47:42,Z,1,z,2
04/06/2024,11:47:42,Z,1,z,0
04/06/2024,11:47:43,Z,1,z,0
04/06/2024,11:47:43,Z,1,z,1
04/06/2024,11:47:44,Z,1,z,2
04/06/2024,11:47:44,Z,1,z,2
04/06/2024,11:47:45,Z,1,z,0
04/06/2024,11:47:45,Z,1,z,0
04/06/2024,11:47:46,Z,1,z,0
04/06/2024,11:47:46,Z,1,z,0
04/06/2024,11:47:47,Z,1,z,0
04/06/2024,11:47:47,Z,1,z,1
04/06/2024,11:47:48,Z,1,z,0
04/06/2024,11:47:48,Z,1,z,0
04/06/2024,11:47:49,Z,0,z,0
04/06/2024,11:47:49,Z,0,z,0
04/06/2024,11:47:50,Z,0,z,0
04/06/2024,11:47:50,Z,0,z,1
04/06/2024,11:47:51,Z,0,z,2
04/06/2024,11:47:51,Z,1,z,1
04/06/2024,11:47:52,Z,0,z,0
04/06/2024,11:47:52,Z,0,z,0
04/06/2024,11:47:53,Z,0,z,0
04/06/2024,11:47:53,Z,0,z,1
04/06/2024,11:47:54,Z,1,z,1
04/06/2024,11:47:54,Z,0,z,0
04/06/2024,11:47:55,Z,0,z,0
04/06/2024,11:47:55,Z,0,z,0
04/06/2024,11:47:56,Z,0,z,1
04/06/2024,11:47:56,Z,1,z,1
04/06/2024,11:47:57,Z,1,z,1
04/06/2024,11:47:57,Z,1,z,1
04/06/2024,11:47:58,Z,1,z,0
04/06/2024,11:47:58,Z,1,z,0
04/06/2024,11:47:59,Z,1,z,1
04/06/2024,11:47:59,Z,1,z,3
04/06/2024,11:48:00,Z,1,z,2
04/06/2024,11:48:00,Z,1,z,0
04/06/2024,11:48:01,Z,1,z,1
04/06/2024,11:48:01,Z,1,z,0
04/06/2024,11:48:02,Z,1,z,1
04/06/2024,11:48:02,Z,1,z,1
04/06/2024,11:48:03,Z,1,z,0
04/06/2024,11:48:03,Z,1,z,1
04/06/2024,11:48:04,Z,1,z,1
04/06/2024,11:48:04,Z,1,z,1
04/06/2024,11:48:05,Z,1,z,2
04/06/2024,11:48:05,Z,1,z,2
04/06/2024,11:48:06,Z,1,z,2
04/06/2024,11:48:06,Z,1,z,1
04/06/2024,11:48:07,Z,1,z,1
04/06/2024,11:48:07,Z,1,z,0
04/06/2024,11:48:08,Z,1,z,0
04/06/2024,11:48:08,Z,1,z,0
04/06/2024,11:48:08,Z,1,z,1
04/06/2024,11:48:09,Z,1,z,1
04/06/2024,11:48:09,Z,1,z,2
04/06/2024,11:48:10,Z,1,z,2
04/06/2024,11:48:10,Z,1,z,1
04/06/2024,11:48:11,Z,1,z,1
04/06/2024,11:48:11,Z,1,z,1
04/06/2024,11:48:12,Z,1,z,1
04/06/2024,11:48:12,Z,1,z,0
04/06/2024,11:48:13,Z,1,z,0
04/06/2024,11:48:13,Z,1,z,0
04/06/2024,11:48:14,Z,1,z,1
04/06/2024,11:48:14,Z,1,z,1
04/06/2024,11:48:15,Z,1,z,0
04/06/2024,11:48:15,Z,1,z,0
04/06/2024,11:48:16,Z,0,z,0
04/06/2024,11:48:16,Z,0,z,1
04/06/2024,11:48:17,Z,1,z,2
04/06/2024,11:48:17,Z,1,z,2
04/06/2024,11:48:18,Z,1,z,0
04/06/2024,11:48:18,Z,1,z,0
04/06/2024,11:48:19,Z,1,z,2
04/06/2024,11:48:19,Z,1,z,1
04/06/2024,11:48:20,Z,1,z,2
04/06/2024,11:48:20,Z,1,z,1
04/06/2024,11:48:21,Z,1,z,0
04/06/2024,11:48:21,Z,1,z,0
04/06/2024,11:48:22,Z,1,z,2
04/06/2024,11:48:22,Z,1,z,2
04/06/2024,11:48:23,Z,1,z,0
04/06/2024,11:48:23,Z,1,z,0
