Date,Hour,Media,Media value concentration,Value,Concentration
29/05/2024,17:47:22,Z,8393,z,8304
29/05/2024,17:47:23,Z,8393,z,8437
29/05/2024,17:47:23,Z,8393,z,8415
29/05/2024,17:47:24,Z,8370,z,8055
29/05/2024,17:47:24,Z,8348,z,8197
29/05/2024,17:47:25,Z,8348,z,8304
29/05/2024,17:47:25,Z,8348,z,8259
29/05/2024,17:47:26,Z,8348,z,8155
29/05/2024,17:47:26,Z,8304,z,7935
29/05/2024,17:47:27,Z,8304,z,8393
29/05/2024,17:47:27,Z,8348,z,8659
29/05/2024,17:47:28,Z,8348,z,8505
29/05/2024,17:47:28,Z,8348,z,8195
29/05/2024,17:47:29,Z,8304,z,7975
29/05/2024,17:47:29,Z,8304,z,8117
29/05/2024,17:47:30,Z,8304,z,8594
29/05/2024,17:47:30,Z,8348,z,8838
29/05/2024,17:47:31,Z,8370,z,8503
29/05/2024,17:47:31,Z,8348,z,8155
29/05/2024,17:47:32,Z,8326,z,7975
29/05/2024,17:47:32,Z,8304,z,8075
29/05/2024,17:47:33,Z,8326,z,8683
29/05/2024,17:47:33,Z,8348,z,8705
29/05/2024,17:47:34,Z,8393,z,8750
29/05/2024,17:47:34,Z,8415,z,8905
29/05/2024,17:47:35,Z,8415,z,8348
29/05/2024,17:47:35,Z,8370,z,7855
29/05/2024,17:47:36,Z,8326,z,7834
29/05/2024,17:47:36,Z,8348,z,8461
29/05/2024,17:47:37,Z,8348,z,8305
29/05/2024,17:47:37,Z,8348,z,8437
29/05/2024,17:47:38,Z,8393,z,8859
29/05/2024,17:47:38,Z,8393,z,8348
29/05/2024,17:47:39,Z,8393,z,8350
29/05/2024,17:47:39,Z,8393,z,8683
29/05/2024,17:47:40,Z,8437,z,8838
29/05/2024,17:47:40,Z,8437,z,8750
29/05/2024,17:47:41,Z,8437,z,8283
29/05/2024,17:47:41,Z,8415,z,7936
29/05/2024,17:47:42,Z,8393,z,8137
29/05/2024,17:47:42,Z,8415,z,8615
29/05/2024,17:47:43,Z,8437,z,8996
29/05/2024,17:47:43,Z,8481,z,9019
29/05/2024,17:47:44,Z,8459,z,8370
29/05/2024,17:47:44,Z,8459,z,8348
29/05/2024,17:47:45,Z,8459,z,8461
29/05/2024,17:47:45,Z,8459,z,8594
29/05/2024,17:47:46,Z,8481,z,8838
29/05/2024,17:47:46,Z,8503,z,8594
29/05/2024,17:47:47,Z,8459,z,8036
29/05/2024,17:47:47,Z,8437,z,7834
29/05/2024,17:47:48,Z,8415,z,8097
29/05/2024,17:47:48,Z,8415,z,8439
29/05/2024,17:47:49,Z,8437,z,8949
29/05/2024,17:47:49,Z,8459,z,8703
29/05/2024,17:47:50,Z,8437,z,7995
29/05/2024,17:47:50,Z,8415,z,8095
29/05/2024,17:47:51,Z,8393,z,8283
29/05/2024,17:47:51,Z,8415,z,8415
29/05/2024,17:47:52,Z,8437,z,8881
29/05/2024,17:47:52,Z,8459,z,8905
29/05/2024,17:47:53,Z,8481,z,8705
29/05/2024,17:47:53,Z,8481,z,8549
29/05/2024,17:47:54,Z,8459,z,8038
29/05/2024,17:47:54,Z,8437,z,8117
29/05/2024,17:47:55,Z,8459,z,8925
29/05/2024,17:47:55,Z,8459,z,8237
29/05/2024,17:47:56,Z,8437,z,8237
29/05/2024,17:47:56,Z,8437,z,8350
29/05/2024,17:47:57,Z,8393,z,7836
29/05/2024,17:47:57,Z,8393,z,8348
29/05/2024,17:47:58,Z,8370,z,8055
29/05/2024,17:47:58,Z,8326,z,7895
29/05/2024,17:47:59,Z,8326,z,8304
29/05/2024,17:47:59,Z,8304,z,7975
29/05/2024,17:48:00,Z,8282,z,7895
29/05/2024,17:48:00,Z,8259,z,8056
29/05/2024,17:48:01,Z,8282,z,8439
29/05/2024,17:48:01,Z,8304,z,8727
29/05/2024,17:48:02,Z,8304,z,8481
29/05/2024,17:48:02,Z,8348,z,8859
29/05/2024,17:48:03,Z,8348,z,8459
29/05/2024,17:48:03,Z,8348,z,8305
29/05/2024,17:48:04,Z,8393,z,8838
29/05/2024,17:48:04,Z,8415,z,8703
29/05/2024,17:48:05,Z,8415,z,8659
29/05/2024,17:48:05,Z,8459,z,8860
29/05/2024,17:48:06,Z,8437,z,8237
29/05/2024,17:48:06,Z,8393,z,7635
29/05/2024,17:48:07,Z,8348,z,7956
29/05/2024,17:48:07,Z,8370,z,8527
29/05/2024,17:48:08,Z,8348,z,8283
29/05/2024,17:48:08,Z,8370,z,8570
29/05/2024,17:48:09,Z,8393,z,8748
29/05/2024,17:48:09,Z,8370,z,7935
29/05/2024,17:48:10,Z,8348,z,8195
29/05/2024,17:48:10,Z,8370,z,8615
29/05/2024,17:48:11,Z,8348,z,7955
29/05/2024,17:48:11,Z,8326,z,8033
29/05/2024,17:48:12,Z,8348,z,8657
29/05/2024,17:48:12,Z,8370,z,8615
29/05/2024,17:48:13,Z,8393,z,8615
29/05/2024,17:48:13,Z,8415,z,8794
29/05/2024,17:48:14,Z,8415,z,8549
29/05/2024,17:48:14,Z,8393,z,8117
29/05/2024,17:48:15,Z,8393,z,8237
29/05/2024,17:48:15,Z,8370,z,8174
29/05/2024,17:48:16,Z,8393,z,8480
29/05/2024,17:48:16,Z,8415,z,8792
29/05/2024,17:48:17,Z,8437,z,8925
29/05/2024,17:48:17,Z,8459,z,8748
29/05/2024,17:48:18,Z,8437,z,8155
29/05/2024,17:48:18,Z,8437,z,8481
29/05/2024,17:48:19,Z,8437,z,8370
29/05/2024,17:48:19,Z,8393,z,7714
29/05/2024,17:48:20,Z,8370,z,7935
29/05/2024,17:48:20,Z,8370,z,8393
29/05/2024,17:48:21,Z,8370,z,8370
29/05/2024,17:48:21,Z,8370,z,8481
29/05/2024,17:48:22,Z,8393,z,8613
29/05/2024,17:48:22,Z,8413,z,8569
29/05/2024,17:48:23,Z,8391,z,8174
29/05/2024,17:48:23,Z,8369,z,8155
29/05/2024,17:48:23,Z,8369,z,8193
29/05/2024,17:48:24,Z,8324,z,7934
29/05/2024,17:48:24,Z,8302,z,7995
29/05/2024,17:48:25,Z,8302,z,8393
29/05/2024,17:48:25,Z,8324,z,8524
29/05/2024,17:48:26,Z,8324,z,8413
29/05/2024,17:48:26,Z,8302,z,8095
29/05/2024,17:48:27,Z,8280,z,8015
29/05/2024,17:48:27,Z,8280,z,8259
29/05/2024,17:48:28,Z,8302,z,8503
29/05/2024,17:48:28,Z,8346,z,8813
29/05/2024,17:48:29,Z,8346,z,8480
29/05/2024,17:48:29,Z,8302,z,7634
29/05/2024,17:48:30,Z,8236,z,7375
29/05/2024,17:48:30,Z,8193,z,7714
29/05/2024,17:48:31,Z,8193,z,8076
29/05/2024,17:48:31,Z,8174,z,8016
29/05/2024,17:48:32,Z,8193,z,8393
29/05/2024,17:48:32,Z,8214,z,8526
29/05/2024,17:48:33,Z,8214,z,8197
29/05/2024,17:48:33,Z,8236,z,8503
29/05/2024,17:48:34,Z,8258,z,8615
29/05/2024,17:48:34,Z,8258,z,8348
29/05/2024,17:48:35,Z,8258,z,8304
29/05/2024,17:48:35,Z,8258,z,8214
29/05/2024,17:48:36,Z,8258,z,8134
29/05/2024,17:48:36,Z,8280,z,8637
29/05/2024,17:48:37,Z,8302,z,8770
29/05/2024,17:48:37,Z,8324,z,8615
29/05/2024,17:48:38,Z,8324,z,8237
29/05/2024,17:48:38,Z,8280,z,7855
29/05/2024,17:48:39,Z,8302,z,8657
29/05/2024,17:48:39,Z,8369,z,9207
29/05/2024,17:48:40,Z,8413,z,8792
29/05/2024,17:48:40,Z,8391,z,8193
29/05/2024,17:48:41,Z,8391,z,8258
29/05/2024,17:48:41,Z,8413,z,9043
29/05/2024,17:48:42,Z,8457,z,8949
29/05/2024,17:48:42,Z,8480,z,8792
29/05/2024,17:48:43,Z,8502,z,8837
29/05/2024,17:48:43,Z,8480,z,8237
29/05/2024,17:48:44,Z,8435,z,7855
29/05/2024,17:48:44,Z,8435,z,8259
29/05/2024,17:48:45,Z,8457,z,8925
29/05/2024,17:48:45,Z,8480,z,8725
29/05/2024,17:48:46,Z,8480,z,8348
29/05/2024,17:48:46,Z,8457,z,8304
29/05/2024,17:48:47,Z,8435,z,8075
29/05/2024,17:48:47,Z,8391,z,7816
29/05/2024,17:48:48,Z,8369,z,7975
29/05/2024,17:48:48,Z,8391,z,8526
29/05/2024,17:48:49,Z,8369,z,8282
29/05/2024,17:48:49,Z,8369,z,8393
29/05/2024,17:48:50,Z,8391,z,8748
29/05/2024,17:48:50,Z,8413,z,8459
29/05/2024,17:48:51,Z,8391,z,8304
29/05/2024,17:48:51,Z,8391,z,8393
29/05/2024,17:48:52,Z,8413,z,8459
29/05/2024,17:48:52,Z,8435,z,9043
29/05/2024,17:48:53,Z,8457,z,8859
29/05/2024,17:48:53,Z,8435,z,7935
29/05/2024,17:48:54,Z,8391,z,7695
29/05/2024,17:48:54,Z,8391,z,8348
29/05/2024,17:48:55,Z,8391,z,8635
29/05/2024,17:48:55,Z,8435,z,8790
29/05/2024,17:48:56,Z,8435,z,8702
29/05/2024,17:48:56,Z,8435,z,8457
29/05/2024,17:48:57,Z,8457,z,8570
29/05/2024,17:48:57,Z,8413,z,7975
29/05/2024,17:48:58,Z,8391,z,7855
29/05/2024,17:48:58,Z,8369,z,8259
29/05/2024,17:48:59,Z,8391,z,8657
29/05/2024,17:48:59,Z,8413,z,8835
29/05/2024,17:49:00,Z,8457,z,8925
29/05/2024,17:49:00,Z,8457,z,8659
29/05/2024,17:49:01,Z,8457,z,8280
29/05/2024,17:49:01,Z,8457,z,8280
29/05/2024,17:49:02,Z,8435,z,8324
29/05/2024,17:49:02,Z,8457,z,8569
29/05/2024,17:49:03,Z,8457,z,8569
29/05/2024,17:49:03,Z,8435,z,8154
29/05/2024,17:49:04,Z,8391,z,7833
29/05/2024,17:49:04,Z,8391,z,8259
29/05/2024,17:49:05,Z,8413,z,8637
29/05/2024,17:49:05,Z,8391,z,8259
29/05/2024,17:49:06,Z,8369,z,7993
29/05/2024,17:49:06,Z,8391,z,8570
29/05/2024,17:49:07,Z,8413,z,8837
29/05/2024,17:49:07,Z,8413,z,8459
29/05/2024,17:49:08,Z,8413,z,8393
29/05/2024,17:49:08,Z,8413,z,8237
29/05/2024,17:49:09,Z,8391,z,8348
29/05/2024,17:49:09,Z,8413,z,8703
29/05/2024,17:49:10,Z,8435,z,8615
29/05/2024,17:49:10,Z,8435,z,8615
29/05/2024,17:49:11,Z,8435,z,8259
29/05/2024,17:49:11,Z,8391,z,7794
29/05/2024,17:49:12,Z,8369,z,8155
29/05/2024,17:49:12,Z,8391,z,8703
29/05/2024,17:49:13,Z,8413,z,8681
29/05/2024,17:49:13,Z,8435,z,8748
29/05/2024,17:49:14,Z,8435,z,8259
29/05/2024,17:49:14,Z,8369,z,7614
29/05/2024,17:49:15,Z,8346,z,7915
29/05/2024,17:49:15,Z,8346,z,8546
29/05/2024,17:49:16,Z,8369,z,8569
29/05/2024,17:49:16,Z,8346,z,8094
29/05/2024,17:49:17,Z,8324,z,8115
29/05/2024,17:49:17,Z,8324,z,8195
29/05/2024,17:49:18,Z,8346,z,8503
29/05/2024,17:49:18,Z,8369,z,8814
29/05/2024,17:49:19,Z,8413,z,8881
29/05/2024,17:49:19,Z,8435,z,8748
29/05/2024,17:49:20,Z,8435,z,8615
29/05/2024,17:49:20,Z,8413,z,8157
29/05/2024,17:49:21,Z,8413,z,8155
29/05/2024,17:49:21,Z,8413,z,8437
29/05/2024,17:49:22,Z,8435,z,8859
29/05/2024,17:49:22,Z,8480,z,9090
29/05/2024,17:49:23,Z,8457,z,8237
29/05/2024,17:49:23,Z,8413,z,7714
29/05/2024,17:49:24,Z,8391,z,7915
29/05/2024,17:49:24,Z,8391,z,8483
29/05/2024,17:49:25,Z,8415,z,8816
29/05/2024,17:49:25,Z,8437,z,8925
29/05/2024,17:49:26,Z,8437,z,8282
29/05/2024,17:49:26,Z,8415,z,7996
29/05/2024,17:49:27,Z,8370,z,7916
29/05/2024,17:49:27,Z,8348,z,8015
29/05/2024,17:49:28,Z,8370,z,8502
29/05/2024,17:49:28,Z,8370,z,8569
29/05/2024,17:49:29,Z,8391,z,8457
29/05/2024,17:49:29,Z,8369,z,8258
29/05/2024,17:49:30,Z,8346,z,7855
29/05/2024,17:49:30,Z,8302,z,7796
29/05/2024,17:49:31,Z,8280,z,8237
29/05/2024,17:49:31,Z,8280,z,8135
29/05/2024,17:49:32,Z,8280,z,8237
29/05/2024,17:49:32,Z,8280,z,8370
29/05/2024,17:49:33,Z,8282,z,8097
29/05/2024,17:49:33,Z,8237,z,7634
29/05/2024,17:49:34,Z,8195,z,7775
29/05/2024,17:49:34,Z,8237,z,8725
29/05/2024,17:49:35,Z,8280,z,8947
29/05/2024,17:49:35,Z,8280,z,8524
29/05/2024,17:49:36,Z,8280,z,8175
29/05/2024,17:49:36,Z,8258,z,7874
29/05/2024,17:49:37,Z,8236,z,7975
29/05/2024,17:49:37,Z,8258,z,8526
29/05/2024,17:49:38,Z,8258,z,8481
29/05/2024,17:49:38,Z,8280,z,8503
29/05/2024,17:49:39,Z,8324,z,8881
29/05/2024,17:49:39,Z,8302,z,8115
29/05/2024,17:49:40,Z,8258,z,7554
29/05/2024,17:49:40,Z,8236,z,8075
29/05/2024,17:49:41,Z,8258,z,8393
29/05/2024,17:49:41,Z,8258,z,8282
29/05/2024,17:49:42,Z,8258,z,8437
29/05/2024,17:49:42,Z,8258,z,8280
29/05/2024,17:49:43,Z,8258,z,7973
29/05/2024,17:49:43,Z,8236,z,8115
29/05/2024,17:49:44,Z,8258,z,8659
29/05/2024,17:49:44,Z,8302,z,8814
29/05/2024,17:49:45,Z,8324,z,8703
29/05/2024,17:49:45,Z,8346,z,8635
29/05/2024,17:49:46,Z,8324,z,8073
29/05/2024,17:49:46,Z,8280,z,7814
29/05/2024,17:49:46,Z,8258,z,7895
29/05/2024,17:49:47,Z,8258,z,8348
29/05/2024,17:49:47,Z,8302,z,9017
29/05/2024,17:49:48,Z,8346,z,8814
29/05/2024,17:49:48,Z,8346,z,8459
29/05/2024,17:49:49,Z,8324,z,7915
29/05/2024,17:49:49,Z,8280,z,7756
29/05/2024,17:49:50,Z,8280,z,8348
29/05/2024,17:49:50,Z,8324,z,8814
29/05/2024,17:49:51,Z,8369,z,8881
29/05/2024,17:49:51,Z,8391,z,8659
29/05/2024,17:49:52,Z,8369,z,8175
29/05/2024,17:49:52,Z,8346,z,7915
29/05/2024,17:49:53,Z,8302,z,7916
29/05/2024,17:49:53,Z,8302,z,8237
29/05/2024,17:49:54,Z,8346,z,8857
29/05/2024,17:49:54,Z,8369,z,8679
29/05/2024,17:49:55,Z,8346,z,8193
29/05/2024,17:49:55,Z,8346,z,8259
29/05/2024,17:49:56,Z,8346,z,8195
29/05/2024,17:49:56,Z,8324,z,8259
29/05/2024,17:49:57,Z,8324,z,8348
29/05/2024,17:49:57,Z,8346,z,8570
29/05/2024,17:49:58,Z,8369,z,8703
29/05/2024,17:49:58,Z,8369,z,8302
29/05/2024,17:49:59,Z,8369,z,8304
29/05/2024,17:49:59,Z,8369,z,8350
29/05/2024,17:50:00,Z,8369,z,8526
29/05/2024,17:50:00,Z,8413,z,8859
29/05/2024,17:50:01,Z,8435,z,8748
29/05/2024,17:50:01,Z,8435,z,8437
29/05/2024,17:50:02,Z,8413,z,8155
29/05/2024,17:50:02,Z,8391,z,8195
29/05/2024,17:50:03,Z,8391,z,8215
29/05/2024,17:50:03,Z,8391,z,8480
29/05/2024,17:50:04,Z,8435,z,9017
29/05/2024,17:50:04,Z,8457,z,8857
29/05/2024,17:50:05,Z,8457,z,8413
29/05/2024,17:50:05,Z,8435,z,8033
29/05/2024,17:50:06,Z,8413,z,8014
29/05/2024,17:50:06,Z,8413,z,8415
29/05/2024,17:50:07,Z,8435,z,8901
29/05/2024,17:50:07,Z,8480,z,9182
29/05/2024,17:50:08,Z,8502,z,8879
29/05/2024,17:50:08,Z,8502,z,8280
29/05/2024,17:50:09,Z,8480,z,8134
29/05/2024,17:50:09,Z,8457,z,8302
29/05/2024,17:50:10,Z,8457,z,8391
29/05/2024,17:50:10,Z,8435,z,8033
29/05/2024,17:50:11,Z,8413,z,8115
29/05/2024,17:50:11,Z,8391,z,8075
29/05/2024,17:50:12,Z,8369,z,8055
29/05/2024,17:50:12,Z,8369,z,8437
29/05/2024,17:50:13,Z,8391,z,8503
29/05/2024,17:50:13,Z,8413,z,8814
29/05/2024,17:50:14,Z,8413,z,8480
29/05/2024,17:50:14,Z,8413,z,8413
29/05/2024,17:50:15,Z,8413,z,8570
29/05/2024,17:50:15,Z,8391,z,8055
29/05/2024,17:50:16,Z,8369,z,8015
29/05/2024,17:50:16,Z,8346,z,8135
29/05/2024,17:50:17,Z,8369,z,8503
29/05/2024,17:50:17,Z,8391,z,8725
29/05/2024,17:50:18,Z,8369,z,8134
29/05/2024,17:50:18,Z,8346,z,7953
29/05/2024,17:50:19,Z,8302,z,7873
29/05/2024,17:50:19,Z,8302,z,8115
29/05/2024,17:50:20,Z,8324,z,8816
29/05/2024,17:50:20,Z,8346,z,8681
29/05/2024,17:50:21,Z,8346,z,8346
29/05/2024,17:50:21,Z,8324,z,8015
29/05/2024,17:50:22,Z,8302,z,8035
29/05/2024,17:50:22,Z,8302,z,8348
29/05/2024,17:50:23,Z,8302,z,8175
29/05/2024,17:50:23,Z,8302,z,8236
29/05/2024,17:50:24,Z,8302,z,8413
29/05/2024,17:50:24,Z,8302,z,8195
29/05/2024,17:50:25,Z,8280,z,7975
29/05/2024,17:50:25,Z,8236,z,7855
29/05/2024,17:50:26,Z,8236,z,8215
29/05/2024,17:50:26,Z,8280,z,8792
29/05/2024,17:50:27,Z,8302,z,8702
29/05/2024,17:50:27,Z,8302,z,8435
29/05/2024,17:50:28,Z,8302,z,8259
29/05/2024,17:50:28,Z,8280,z,7834
29/05/2024,17:50:29,Z,8258,z,7893
29/05/2024,17:50:29,Z,8236,z,7993
29/05/2024,17:50:30,Z,8214,z,8033
29/05/2024,17:50:30,Z,8214,z,8214
29/05/2024,17:50:31,Z,8214,z,8035
29/05/2024,17:50:31,Z,8236,z,8593
29/05/2024,17:50:32,Z,8258,z,8548
29/05/2024,17:50:32,Z,8258,z,8282
29/05/2024,17:50:33,Z,8258,z,8391
29/05/2024,17:50:33,Z,8280,z,8457
29/05/2024,17:50:34,Z,8280,z,8526
29/05/2024,17:50:34,Z,8302,z,8415
29/05/2024,17:50:35,Z,8280,z,8137
29/05/2024,17:50:35,Z,8258,z,8036
29/05/2024,17:50:36,Z,8258,z,8155
29/05/2024,17:50:36,Z,8302,z,8792
29/05/2024,17:50:37,Z,8369,z,9397
29/05/2024,17:50:37,Z,8391,z,8768
29/05/2024,17:50:38,Z,8391,z,8481
29/05/2024,17:50:38,Z,8413,z,8437
29/05/2024,17:50:39,Z,8391,z,8175
29/05/2024,17:50:39,Z,8391,z,8570
29/05/2024,17:50:40,Z,8435,z,9066
29/05/2024,17:50:40,Z,8457,z,8659
29/05/2024,17:50:41,Z,8457,z,8391
29/05/2024,17:50:41,Z,8435,z,8135
29/05/2024,17:50:42,Z,8435,z,8481
29/05/2024,17:50:42,Z,8435,z,8481
29/05/2024,17:50:43,Z,8457,z,8703
29/05/2024,17:50:43,Z,8457,z,8659
29/05/2024,17:50:44,Z,8435,z,7895
29/05/2024,17:50:44,Z,8413,z,8073
29/05/2024,17:50:45,Z,8413,z,8346
29/05/2024,17:50:45,Z,8413,z,8526
29/05/2024,17:50:46,Z,8413,z,8348
29/05/2024,17:50:46,Z,8391,z,8134
29/05/2024,17:50:47,Z,8391,z,8258
29/05/2024,17:50:47,Z,8369,z,8214
29/05/2024,17:50:48,Z,8369,z,8258
29/05/2024,17:50:48,Z,8346,z,8215
29/05/2024,17:50:49,Z,8324,z,8094
29/05/2024,17:50:49,Z,8324,z,8302
29/05/2024,17:50:50,Z,8346,z,8415
29/05/2024,17:50:50,Z,8324,z,8259
29/05/2024,17:50:51,Z,8302,z,7995
29/05/2024,17:50:51,Z,8280,z,8073
29/05/2024,17:50:52,Z,8324,z,8748
29/05/2024,17:50:52,Z,8324,z,8304
29/05/2024,17:50:53,Z,8280,z,7893
29/05/2024,17:50:53,Z,8302,z,8369
29/05/2024,17:50:54,Z,8280,z,8237
29/05/2024,17:50:54,Z,8258,z,7853
29/05/2024,17:50:55,Z,8236,z,7913
29/05/2024,17:50:55,Z,8236,z,8391
29/05/2024,17:50:56,Z,8258,z,8502
29/05/2024,17:50:56,Z,8258,z,8346
29/05/2024,17:50:57,Z,8258,z,7953
29/05/2024,17:50:57,Z,8214,z,7814
29/05/2024,17:50:58,Z,8214,z,8157
29/05/2024,17:50:58,Z,8214,z,8237
29/05/2024,17:50:59,Z,8236,z,8391
29/05/2024,17:50:59,Z,8258,z,8837
29/05/2024,17:51:00,Z,8280,z,8703
29/05/2024,17:51:00,Z,8258,z,7934
29/05/2024,17:51:01,Z,8214,z,7493
29/05/2024,17:51:01,Z,8214,z,8155
29/05/2024,17:51:02,Z,8214,z,8415
29/05/2024,17:51:02,Z,8214,z,7975
29/05/2024,17:51:03,Z,8214,z,8175
29/05/2024,17:51:03,Z,8214,z,8236
29/05/2024,17:51:04,Z,8193,z,7893
29/05/2024,17:51:04,Z,8174,z,8095
29/05/2024,17:51:05,Z,8193,z,8369
29/05/2024,17:51:05,Z,8214,z,8524
29/05/2024,17:51:06,Z,8236,z,8657
29/05/2024,17:51:06,Z,8258,z,8457
29/05/2024,17:51:07,Z,8258,z,8481
29/05/2024,17:51:07,Z,8280,z,8635
29/05/2024,17:51:08,Z,8302,z,8569
29/05/2024,17:51:08,Z,8346,z,8837
29/05/2024,17:51:08,Z,8391,z,9087
29/05/2024,17:51:09,Z,8413,z,8789
29/05/2024,17:51:09,Z,8413,z,8134
29/05/2024,17:51:10,Z,8369,z,7934
29/05/2024,17:51:10,Z,8346,z,7975
29/05/2024,17:51:11,Z,8302,z,7953
29/05/2024,17:51:11,Z,8280,z,7972
29/05/2024,17:51:12,Z,8302,z,8457
29/05/2024,17:51:12,Z,8324,z,8792
29/05/2024,17:51:13,Z,8346,z,8481
29/05/2024,17:51:13,Z,8346,z,8369
29/05/2024,17:51:14,Z,8346,z,8570
29/05/2024,17:51:14,Z,8391,z,8746
29/05/2024,17:51:15,Z,8413,z,8657
29/05/2024,17:51:15,Z,8413,z,8681
29/05/2024,17:51:16,Z,8435,z,8548
29/05/2024,17:51:16,Z,8435,z,8370
29/05/2024,17:51:17,Z,8435,z,8481
29/05/2024,17:51:17,Z,8435,z,8657
29/05/2024,17:51:18,Z,8457,z,8702
29/05/2024,17:51:18,Z,8480,z,8679
29/05/2024,17:51:19,Z,8480,z,8657
29/05/2024,17:51:19,Z,8457,z,7973
29/05/2024,17:51:20,Z,8413,z,7794
29/05/2024,17:51:20,Z,8413,z,8503
29/05/2024,17:51:21,Z,8435,z,8768
29/05/2024,17:51:21,Z,8435,z,8345
29/05/2024,17:51:22,Z,8413,z,8152
29/05/2024,17:51:22,Z,8413,z,8480
29/05/2024,17:51:23,Z,8413,z,8393
29/05/2024,17:51:23,Z,8413,z,8195
29/05/2024,17:51:24,Z,8413,z,8304
29/05/2024,17:51:24,Z,8413,z,8391
29/05/2024,17:51:25,Z,8413,z,8413
29/05/2024,17:51:25,Z,8413,z,8724
29/05/2024,17:51:26,Z,8435,z,8702
29/05/2024,17:51:26,Z,8435,z,8236
29/05/2024,17:51:27,Z,8435,z,8502
29/05/2024,17:51:27,Z,8435,z,8567
29/05/2024,17:51:28,Z,8413,z,8052
29/05/2024,17:51:28,Z,8413,z,8413
29/05/2024,17:51:29,Z,8413,z,8480
29/05/2024,17:51:29,Z,8391,z,7953
29/05/2024,17:51:30,Z,8391,z,8258
29/05/2024,17:51:30,Z,8413,z,8768
29/05/2024,17:51:31,Z,8457,z,9371
29/05/2024,17:51:31,Z,8502,z,9136
29/05/2024,17:51:32,Z,8502,z,8413
29/05/2024,17:51:32,Z,8480,z,8094
29/05/2024,17:51:33,Z,8456,z,8301
29/05/2024,17:51:33,Z,8456,z,8456
29/05/2024,17:51:34,Z,8456,z,8457
29/05/2024,17:51:34,Z,8456,z,8524
29/05/2024,17:51:35,Z,8456,z,8172
29/05/2024,17:51:35,Z,8412,z,7773
29/05/2024,17:51:36,Z,8367,z,7775
29/05/2024,17:51:36,Z,8346,z,8115
29/05/2024,17:51:37,Z,8346,z,8437
29/05/2024,17:51:37,Z,8391,z,9019
29/05/2024,17:51:38,Z,8435,z,9113
29/05/2024,17:51:38,Z,8457,z,8657
29/05/2024,17:51:39,Z,8435,z,8052
29/05/2024,17:51:39,Z,8391,z,7833
29/05/2024,17:51:40,Z,8369,z,8073
29/05/2024,17:51:40,Z,8369,z,8302
29/05/2024,17:51:41,Z,8391,z,8569
29/05/2024,17:51:41,Z,8391,z,8457
29/05/2024,17:51:42,Z,8346,z,7932
29/05/2024,17:51:42,Z,8302,z,7853
29/05/2024,17:51:43,Z,8302,z,8033
29/05/2024,17:51:43,Z,8280,z,8114
29/05/2024,17:51:44,Z,8280,z,8114
29/05/2024,17:51:44,Z,8234,z,7852
29/05/2024,17:51:45,Z,8212,z,7772
29/05/2024,17:51:45,Z,8192,z,8052
29/05/2024,17:51:46,Z,8192,z,7892
29/05/2024,17:51:46,Z,8172,z,8134
29/05/2024,17:51:47,Z,8212,z,8746
29/05/2024,17:51:47,Z,8234,z,8768
29/05/2024,17:51:48,Z,8256,z,8500
29/05/2024,17:51:48,Z,8278,z,8434
29/05/2024,17:51:49,Z,8278,z,8324
29/05/2024,17:51:49,Z,8278,z,8413
29/05/2024,17:51:50,Z,8301,z,8569
29/05/2024,17:51:50,Z,8323,z,8768
29/05/2024,17:51:51,Z,8390,z,9206
29/05/2024,17:51:51,Z,8412,z,8792
29/05/2024,17:51:52,Z,8434,z,8748
29/05/2024,17:51:52,Z,8457,z,8615
29/05/2024,17:51:53,Z,8435,z,8095
29/05/2024,17:51:53,Z,8413,z,8280
29/05/2024,17:51:54,Z,8413,z,8193
29/05/2024,17:51:54,Z,8413,z,8524
29/05/2024,17:51:55,Z,8435,z,8790
