Date,Hour,Media,Media value concentration,Value,Concentration
27/05/2024,18:34:51,Z,7714,z,7776
27/05/2024,18:34:52,Z,7714,z,7469
27/05/2024,18:34:52,Z,7693,z,7531
27/05/2024,18:34:53,Z,7693,z,7652
27/05/2024,18:34:53,Z,7693,z,7591
27/05/2024,18:34:54,Z,7693,z,7693
27/05/2024,18:34:54,Z,7693,z,7672
27/05/2024,18:34:55,Z,7672,z,7550
27/05/2024,18:34:55,Z,7652,z,7409
27/05/2024,18:34:56,Z,7672,z,7796
27/05/2024,18:34:56,Z,7693,z,7980
27/05/2024,18:34:57,Z,7693,z,7754
27/05/2024,18:34:57,Z,7693,z,7836
27/05/2024,18:34:58,Z,7693,z,7714
27/05/2024,18:34:58,Z,7714,z,7816
27/05/2024,18:34:59,Z,7733,z,7980
27/05/2024,18:34:59,Z,7733,z,7836
27/05/2024,18:35:00,Z,7733,z,7836
27/05/2024,18:35:00,Z,7733,z,7775
27/05/2024,18:35:01,Z,7733,z,7490
27/05/2024,18:35:01,Z,7714,z,7388
27/05/2024,18:35:02,Z,7693,z,7591
27/05/2024,18:35:02,Z,7714,z,7816
27/05/2024,18:35:03,Z,7714,z,7878
27/05/2024,18:35:03,Z,7714,z,7733
27/05/2024,18:35:04,Z,7714,z,7652
27/05/2024,18:35:04,Z,7714,z,7816
27/05/2024,18:35:05,Z,7714,z,7591
27/05/2024,18:35:05,Z,7693,z,7388
27/05/2024,18:35:06,Z,7712,z,7856
27/05/2024,18:35:06,Z,7712,z,7878
27/05/2024,18:35:07,Z,7712,z,7672
27/05/2024,18:35:07,Z,7712,z,7796
27/05/2024,18:35:08,Z,7712,z,7591
27/05/2024,18:35:08,Z,7712,z,7693
27/05/2024,18:35:09,Z,7712,z,7816
27/05/2024,18:35:09,Z,7712,z,7591
27/05/2024,18:35:10,Z,7692,z,7510
27/05/2024,18:35:10,Z,7671,z,7429
27/05/2024,18:35:11,Z,7671,z,7529
27/05/2024,18:35:11,Z,7671,z,7489
27/05/2024,18:35:12,Z,7651,z,7469
27/05/2024,18:35:12,Z,7651,z,7654
27/05/2024,18:35:13,Z,7651,z,7591
27/05/2024,18:35:13,Z,7651,z,7693
27/05/2024,18:35:14,Z,7651,z,7652
27/05/2024,18:35:14,Z,7651,z,7612
27/05/2024,18:35:15,Z,7651,z,7672
27/05/2024,18:35:15,Z,7651,z,7571
27/05/2024,18:35:16,Z,7651,z,7652
27/05/2024,18:35:16,Z,7651,z,7714
27/05/2024,18:35:17,Z,7651,z,7510
27/05/2024,18:35:17,Z,7630,z,7550
27/05/2024,18:35:18,Z,7630,z,7531
27/05/2024,18:35:18,Z,7610,z,7490
27/05/2024,18:35:19,Z,7610,z,7591
27/05/2024,18:35:19,Z,7610,z,7692
27/05/2024,18:35:20,Z,7610,z,7610
27/05/2024,18:35:20,Z,7651,z,7896
