Date,Hour,Media,Media value concentration,Value,Concentration
04/06/2024,17:35:06,Z,8235,z,8018
04/06/2024,17:35:06,Z,8235,z,8192
04/06/2024,17:35:07,Z,8235,z,8408
04/06/2024,17:35:07,Z,8257,z,8474
04/06/2024,17:35:08,Z,8257,z,8192
04/06/2024,17:35:08,Z,8257,z,8192
04/06/2024,17:35:09,Z,8257,z,8499
04/06/2024,17:35:09,Z,8278,z,8474
04/06/2024,17:35:10,Z,8278,z,8343
04/06/2024,17:35:10,Z,8278,z,8365
04/06/2024,17:35:10,Z,8300,z,8387
04/06/2024,17:35:11,Z,8300,z,8213
04/06/2024,17:35:11,Z,8278,z,8192
04/06/2024,17:35:12,Z,8300,z,8450
04/06/2024,17:35:12,Z,8300,z,8495
04/06/2024,17:35:13,Z,8322,z,8604
04/06/2024,17:35:13,Z,8343,z,8474
04/06/2024,17:35:14,Z,8322,z,8040
04/06/2024,17:35:14,Z,8322,z,8217
04/06/2024,17:35:15,Z,8300,z,8105
04/06/2024,17:35:15,Z,8278,z,8105
04/06/2024,17:35:16,Z,8300,z,8365
04/06/2024,17:35:16,Z,8300,z,8391
04/06/2024,17:35:17,Z,8300,z,8365
04/06/2024,17:35:17,Z,8300,z,8233
04/06/2024,17:35:18,Z,8300,z,8278
04/06/2024,17:35:18,Z,8300,z,8322
04/06/2024,17:35:19,Z,8300,z,8365
04/06/2024,17:35:19,Z,8322,z,8517
04/06/2024,17:35:20,Z,8322,z,8235
04/06/2024,17:35:20,Z,8298,z,7973
04/06/2024,17:35:21,Z,8276,z,8016
04/06/2024,17:35:21,Z,8276,z,8276
04/06/2024,17:35:22,Z,8276,z,8363
04/06/2024,17:35:22,Z,8276,z,8298
04/06/2024,17:35:23,Z,8276,z,8105
04/06/2024,17:35:23,Z,8255,z,7975
04/06/2024,17:35:24,Z,8255,z,8278
04/06/2024,17:35:24,Z,8255,z,8300
04/06/2024,17:35:25,Z,8276,z,8521
04/06/2024,17:35:25,Z,8298,z,8608
04/06/2024,17:35:26,Z,8298,z,8343
04/06/2024,17:35:26,Z,8298,z,8408
04/06/2024,17:35:27,Z,8320,z,8408
04/06/2024,17:35:27,Z,8298,z,8211
04/06/2024,17:35:28,Z,8298,z,8322
04/06/2024,17:35:28,Z,8298,z,8282
04/06/2024,17:35:29,Z,8298,z,8300
04/06/2024,17:35:29,Z,8320,z,8474
04/06/2024,17:35:30,Z,8320,z,8474
04/06/2024,17:35:30,Z,8320,z,8343
04/06/2024,17:35:31,Z,8320,z,8235
04/06/2024,17:35:31,Z,8320,z,8343
04/06/2024,17:35:32,Z,8320,z,8322
04/06/2024,17:35:32,Z,8320,z,8365
04/06/2024,17:35:33,Z,8343,z,8543
04/06/2024,17:35:33,Z,8343,z,8365
04/06/2024,17:35:34,Z,8341,z,8406
04/06/2024,17:35:34,Z,8363,z,8580
04/06/2024,17:35:35,Z,8341,z,8192
04/06/2024,17:35:35,Z,8341,z,8105
04/06/2024,17:35:36,Z,8341,z,8322
04/06/2024,17:35:36,Z,8341,z,8408
04/06/2024,17:35:37,Z,8341,z,8255
04/06/2024,17:35:37,Z,8320,z,8146
04/06/2024,17:35:38,Z,8320,z,8213
04/06/2024,17:35:38,Z,8320,z,8235
